Variable Name,Short Name,Question,Responses,Subscale,First Order Subscale
shape_matching.EZ_thresh_SNN,SMZTSNN,,,,
shape_matching.EZ_thresh_SSS,SMZTSSS,,,,
shape_matching.hddm_drift_DDD,SMHDDDD,,,,
shape_matching.hddm_drift_DDS,SMHDDDS,,,,
shape_matching.hddm_drift_DNN,SMHDDNN,,,,
shape_matching.hddm_drift_DSD,SMHDDSD,,,,
shape_matching.hddm_drift_SDD,SMHDSDD,,,,
shape_matching.hddm_drift_SNN,SMHDSNN,,,,
shape_matching.hddm_drift_SSS,SMHDSSS,,,,
shape_matching.hddm_non_decision,SMHN,,,,
shape_matching.hddm_thresh,SMHT,,,,
shape_matching.hddm_drift,SMHD,,,,
shape_matching.hddm_thresh_DDD,SMHTDDD,,,,
shape_matching.hddm_thresh_DDS,SMHTDDS,,,,
shape_matching.hddm_thresh_DNN,SMHTDNN,,,,
shape_matching.hddm_thresh_DSD,SMHTDSD,,,,
shape_matching.hddm_thresh_SDD,SMHTSDD,,,,
shape_matching.hddm_thresh_SNN,SMHTSNN,,,,
shape_matching.hddm_thresh_SSS,SMHTSSS,,,,
shape_matching.acc,SMAC,,,,
shape_matching.avg_rt,SMAVRT,,,,
shape_matching.avg_rt_error,SMAVRTE,,,,
shape_matching.missed_percent,SMMSPR,,,,
shape_matching.post_error_slowing,SMPES,,,,
shape_matching.std_rt,SMDRT,,,,
shape_matching.std_rt_error,SMDRTE,,,,
shape_matching.stimulus_interference_EZ_drift,SMSIZD,,,,
shape_matching.stimulus_interference_EZ_non_decision,SMSIZN,,,,
shape_matching.stimulus_interference_EZ_thresh,SMSIZT,,,,
shape_matching.stimulus_interference_hddm_drift,SMSIHD,,,,
shape_matching.stimulus_interference_hddm_thresh,SMSIHT,,,,
shape_matching.stimulus_interference_rt,SMSIRT,,,,
shift_task.acc,SHFTAC,,,,
shift_task.avg_rt,SHFTAVRT,,,,
shift_task.learning_rate,SHFTLR,,,,
shift_task.missed_percent,SHFTMSPR,,,,
shift_task.post_error_slowing,SHFTPES,,,,
shift_task.std_rt,SHFTDRT,,,,
simon.acc,SIMAC,,,,
simon.avg_rt,SIMAVRT,,,,
simon.avg_rt_error,SIMAVRTE,,,,
simon.congruency_seq_acc,SIMCGSAC,,,,
simon.congruency_seq_rt,SIMCGSRT,,,,
simon.EZ_drift,SIMZD,,,,
simon.EZ_thresh,SIMZT,,,,
simon.EZ_non_decision,SIMZN,,,,
simon.EZ_drift_congruent,SIMCGZD,,,,
simon.EZ_drift_incongruent,SIMINCZD,,,,
simon.EZ_non_decision_congruent,SIMCGZN,,,,
simon.EZ_non_decision_incongruent,SIMINCZN,,,,
simon.EZ_thresh_congruent,SIMCGZT,,,,
simon.EZ_thresh_incongruent,SIMINCZT,,,,
simon.hddm_non_decision,SIMHN,,,,
simon.hddm_thresh,SIMHT,,,,
simon.hddm_drift,SIMHD,,,,
simon.hddm_drift_congruent,SIMCGHD,,,,
simon.hddm_drift_incongruent,SIMINCHD,,,,
simon.hddm_thresh_congruent,SIMCGHT,,,,
simon.hddm_thresh_incongruent,SIMINCHT,,,,
simon.missed_percent,SIMMSPRC,,,,
simon.post_error_slowing,SIMPES,,,,
simon.simon_acc,SIMSIMAC,,,,
simon.simon_EZ_drift,SIMSIMZD,,,,
simon.simon_EZ_non_decision,SIMSIMZN,,,,
simon.simon_EZ_thresh,SIMSIMZT,,,,
simon.simon_hddm_drift,SIMSIMHD,,,,
simon.simon_hddm_thresh,SIMSIMHT,,,,
simon.simon_rt,SIMSIMRT,,,,
simon.std_rt,SIMDRT,,,,
simon.std_rt_error,SIMDRTE,,,,
simple_reaction_time.avg_rt,SRTAVRT,,,,
simple_reaction_time.missed_percent,SRTMSPRC,,,,
simple_reaction_time.std_rt,SRTDRT,,,,
spatial_span.forward_span,SPSFORWD,,,,
spatial_span.reverse_span,SPSREVRS,,,,
stim_selective_stop_signal.EZ_drift,STSZD,,,,
stim_selective_stop_signal.EZ_non_decision,STSZN,,,,
stim_selective_stop_signal.EZ_thresh,STSZT,,,,
stim_selective_stop_signal.hddm_drift,STSHD,,,,
stim_selective_stop_signal.hddm_non_decision,STSHN,,,,
stim_selective_stop_signal.hddm_thresh,STSHT,,,,
stim_selective_stop_signal.hddm_thresh.logTr,STSHTL,,,,
stim_selective_stop_signal.go_acc,STSGAC,,,,
stim_selective_stop_signal.go_rt,STSGRT,,,,
stim_selective_stop_signal.go_rt_error,STSGRTE,,,,
stim_selective_stop_signal.go_rt_std,STSGDRT,,,,
stim_selective_stop_signal.go_rt_std_error,STSGDRTE,,,,
stim_selective_stop_signal.SS_delay,STSSSDLY,,,,
stim_selective_stop_signal.SSRT,STSSSRT,,,,
stim_selective_stop_signal.stop_acc,STSPAC,,,,
stim_selective_stop_signal.stop_rt_error,STSPRT,,,,
stim_selective_stop_signal.stop_rt_error_std,STSPDRTE,,,,
stop_signal.EZ_drift,SSZD,,,,
stop_signal.EZ_non_decision,SSZN,,,,
stop_signal.EZ_thresh,SSZT,,,,
stop_signal.hddm_drift,SSHD,,,,
stop_signal.hddm_non_decision,SSHN,,,,
stop_signal.hddm_thresh,SSHT,,,,
stop_signal.go_acc,SSGAC,,,,
stop_signal.go_rt,SSGRT,,,,
stop_signal.go_rt_error,SSGRTE,,,,
stop_signal.go_rt_std,SSGDRT,,,,
stop_signal.go_rt_std_error,SSGDRTE,,,,
stop_signal.proactive_slowing,SSPAS,,,,
stop_signal.proactive_SSRT_speeding,SSPASS,,,,
stop_signal.SS_delay,SSSSSDLY,,,,
stop_signal.SSRT,SSSSRT,,,,
stop_signal.SSRT_high,SSSSRTHI,,,,
stop_signal.SSRT_low,SSSSRTLO,,,,
stop_signal.stop_acc,SSPAC,,,,
stop_signal.stop_rt_error,SSPRTE,,,,
stop_signal.stop_rt_error_std,SSPDRTE,,,,
stroop.acc,STRAC,,,,
stroop.avg_rt,STRAVRT,,,,
stroop.avg_rt_error,STRAVRTE,,,,
stroop.congruency_seq_acc,STRCGSAC,,,,
stroop.congruency_seq_rt,STRCGS,,,,
stroop.EZ_drift,STRZD,,,,
stroop.EZ_thresh,STRZT,,,,
stroop.EZ_non_decision,STRZN,,,,
stroop.EZ_drift_congruent,STRCGZD,,,,
stroop.EZ_drift_incongruent,STRINCZD,,,,
stroop.EZ_non_decision_congruent,STRCGZN,,,,
stroop.EZ_non_decision_incongruent,STRINCZN,,,,
stroop.EZ_thresh_congruent,STRCGZT,,,,
stroop.EZ_thresh_incongruent,STRINCZT,,,,
stroop.hddm_drift_congruent,STRCGHD,,,,
stroop.hddm_drift_incongruent,STRINCHD,,,,
stroop.hddm_drift,STRHD,,,,
stroop.hddm_non_decision,STRHN,,,,
stroop.hddm_thresh,STRHT,,,,
stroop.hddm_thresh_congruent,STRCGHT,,,,
stroop.hddm_thresh_incongruent,STRINCHT,,,,
stroop.missed_percent,STRMSPRC,,,,
stroop.post_error_slowing,STRPES,,,,
stroop.std_rt,STRDRT,,,,
stroop.std_rt_error,STRDRTE,,,,
stroop.stroop_acc,STRSTRAC,,,,
stroop.stroop_EZ_drift,STRSTRZD,,,,
stroop.stroop_EZ_non_decision,STRSTRZN,,,,
stroop.stroop_EZ_thresh,STRSTRZT,,,,
stroop.stroop_hddm_drift,STRSTRHD,,,,
stroop.stroop_hddm_thresh,STRSTRHT,,,,
stroop.stroop_rt,STRSTRRT,,,,
ten_item_personality_survey.agreeableness,TIPIAGRE,,,,
ten_item_personality_survey.conscientiousness,TIPICONS,,,,
ten_item_personality_survey.emotional_stability,TIPIEMST,,,,
ten_item_personality_survey.extraversion,TIPIEXTR,,,,
ten_item_personality_survey.openness,TIPIOPEN,,,,
theories_of_willpower_survey.endorse_limited_resource,TWILLELR,,,,
threebytwo.acc,32AC,,,,
threebytwo.avg_rt,32AVRT,,,,
threebytwo.avg_rt_error,32AVRTE,,,,
threebytwo.cue_switch_cost_EZ_drift_100.0,32CSCZD1,,,,
threebytwo.cue_switch_cost_EZ_non_decision_100.0,32CSCZN1,,,,
threebytwo.cue_switch_cost_EZ_thresh_100.0,32CSCZT1,,,,
threebytwo.cue_switch_cost_hddm_drift_100.0,32CSCHD1,,,,
threebytwo.cue_switch_cost_hddm_thresh_100.0,32CSCHT1,,,,
threebytwo.cue_switch_cost_rt_100.0,32CSCRT1,,,,
threebytwo.cue_switch_cost_EZ_drift_900.0,32CSCZD9,,,,
threebytwo.cue_switch_cost_EZ_non_decision_900.0,32CSCZN9,,,,
threebytwo.cue_switch_cost_EZ_thresh_900.0,32CSCZT9,,,,
threebytwo.cue_switch_cost_hddm_drift_900.0,32CSCHD9,,,,
threebytwo.cue_switch_cost_hddm_thresh_900.0,32CSCHT9,,,,
threebytwo.cue_switch_cost_rt_900.0,32CSCRT9,,,,
threebytwo.EZ_drift,32ZD,,,,
threebytwo.EZ_thresh,32ZT,,,,
threebytwo.EZ_non_decision,32ZN,,,,
threebytwo.EZ_drift_cue_stay_100.0,32CSTZD1,,,,
threebytwo.EZ_drift_cue_switch_100.0,32CSWZD1,,,,
threebytwo.EZ_drift_task_stay_100.0,32TSTZD1,,,,
threebytwo.EZ_drift_task_switch_100.0,32TSWZD1,,,,
threebytwo.EZ_non_decision_cue_stay_100.0,32CSTZN1,,,,
threebytwo.EZ_non_decision_cue_switch_100.0,32CSWZN1,,,,
threebytwo.EZ_non_decision_task_stay_100.0,32TSTZN1,,,,
threebytwo.EZ_non_decision_task_switch_100.0,32TSWZN1,,,,
threebytwo.EZ_thresh_cue_stay_100.0,32CSTZT1,,,,
threebytwo.EZ_thresh_cue_switch_100.0,32CSWZT1,,,,
threebytwo.EZ_thresh_task_stay_100.0,32TSTZT1,,,,
threebytwo.EZ_thresh_task_switch_100.0,32TSWZT1,,,,
threebytwo.hddm_drift_cue_stay_100.0,32CSTHD1,,,,
threebytwo.hddm_drift_cue_switch_100.0,32CSWHD1,,,,
threebytwo.hddm_drift_task_stay_100.0,32TSTHD1,,,,
threebytwo.hddm_drift_task_switch_100.0,32TSWHD1,,,,
threebytwo.EZ_drift_cue_stay_900.0,32CSTZD9,,,,
threebytwo.EZ_drift_cue_switch_900.0,32CSWZD9,,,,
threebytwo.EZ_drift_task_stay_900.0,32TSTZD9,,,,
threebytwo.EZ_drift_task_switch_900.0,32TSWZD9,,,,
threebytwo.EZ_non_decision_cue_stay_900.0,32CSTZN9,,,,
threebytwo.EZ_non_decision_cue_switch_900.0,32CSWZN9,,,,
threebytwo.EZ_non_decision_task_stay_900.0,32TSTZN9,,,,
threebytwo.EZ_non_decision_task_switch_900.0,32TSWZN9,,,,
threebytwo.EZ_thresh_cue_stay_900.0,32CSTZT9,,,,
threebytwo.EZ_thresh_cue_switch_900.0,32CSWZT9,,,,
threebytwo.EZ_thresh_task_stay_900.0,32TSTZT9,,,,
threebytwo.EZ_thresh_task_switch_900.0,32TSWZT9,,,,
threebytwo.hddm_drift_cue_stay_900.0,32CSTHD9,,,,
threebytwo.hddm_drift_cue_switch_900.0,32CSWHD9,,,,
threebytwo.hddm_drift_task_stay_900.0,32TSTHD9,,,,
threebytwo.hddm_drift_task_switch_900.0,32TSWHD9,,,,
threebytwo.hddm_non_decision,32HN,,,,
threebytwo.hddm_drift,32HD,,,,
threebytwo.hddm_thresh,32HT,,,,
threebytwo.hddm_thresh_cue_stay_100.0,32CSTHT1,,,,
threebytwo.hddm_thresh_cue_switch_100.0,32CSWHT1,,,,
threebytwo.hddm_thresh_task_stay_100.0,32TSTHT1,,,,
threebytwo.hddm_thresh_task_switch_100.0,32TSWHT1,,,,
threebytwo.missed_percent,32MSPRC,,,,
threebytwo.hddm_thresh_cue_stay_900.0,32CSTHT9,,,,
threebytwo.hddm_thresh_cue_switch_900.0,32CSWHT9,,,,
threebytwo.hddm_thresh_task_stay_900.0,32TSTHT9,,,,
threebytwo.hddm_thresh_task_switch_900.0,32TSWHT9,,,,
threebytwo.post_error_slowing,32PES,,,,
threebytwo.std_rt,32DRT,,,,
threebytwo.std_rt_error,32DRTE,,,,
threebytwo.task_inhibition_100.0,32TAIOR1,,,,
threebytwo.task_inhibition_900.0,32TAIOR9,,,,
threebytwo.task_switch_cost_EZ_drift_100.0,32TSCZD1,,,,
threebytwo.task_switch_cost_EZ_non_decision_100.0,32TSCZN1,,,,
threebytwo.task_switch_cost_EZ_thresh_100.0,32TSCZT1,,,,
threebytwo.task_switch_cost_hddm_drift_100.0,32TSCHD1,,,,
threebytwo.task_switch_cost_hddm_thresh_100.0,32TSCHT1,,,,
threebytwo.task_switch_cost_EZ_drift_900.0,32TSCZD9,,,,
threebytwo.task_switch_cost_EZ_non_decision_900.0,32TSCZN9,,,,
threebytwo.task_switch_cost_EZ_thresh_900.0,32TSCZT9,,,,
threebytwo.task_switch_cost_hddm_drift_900.0,32TSCHD9,,,,
threebytwo.task_switch_cost_hddm_thresh_900.0,32TSCHT9,,,,
threebytwo.task_switch_cost_rt_100.0,32TSCRT1,,,,
threebytwo.task_switch_cost_rt_900.0,32TSCRT9,,,,
time_perspective_survey.future,ZTPIFUTR,,,,
time_perspective_survey.past_negative,ZTPIPNEG,,,,
time_perspective_survey.past_positive,ZTPIPPOS,,,,
time_perspective_survey.present_fatalistic,ZTPIPRFA,,,,
time_perspective_survey.present_hedonistic,ZTPIPRHE,,,,
tower_of_london.avg_move_time,TOLAVGMT,,,,
tower_of_london.num_correct,TOLNUMRT,,,,
tower_of_london.num_optimal_solutions,TOLOPTSL,,,,
tower_of_london.planning_time,TOLPLNTM,,,,
tower_of_london.weighted_performance_score,TOLWPS,,,,
tower_of_london.num_extra_moves,TOLNEM,,,,
two_stage_decision.avg_rt,TSTAVRT,,,,
two_stage_decision.missed_percent,TSTMSPRC,,,,
two_stage_decision.model_based,TSTMODBA,,,,
two_stage_decision.model_free,TSTMODFR,,,,
upps_impulsivity_survey.lack_of_perseverance,UPPLPERS,,,,
upps_impulsivity_survey.lack_of_premeditation,UPPLPREM,,,,
upps_impulsivity_survey.negative_urgency,UPPNEGUR,,,,
upps_impulsivity_survey.positive_urgency,UPPPOSUR,,,,
upps_impulsivity_survey.sensation_seeking,UPPSENSE,,,,
writing_task.neutral_probability,WRTNEUPR,,,,
writing_task.positive_probability,WRTPOSPR,,,,
writing_task.sentiment_label,WRTSENTL,,,,
bis11_survey.02,BIS02,I plan tasks carefully.,"Often, Almost Always/Always, Occasionally, Rarely/Never",Self-Control,Nonplanning
bis11_survey.03,BIS03,I do things without thinking.,"Occasionally, Rarely/Never, Often, Almost Always/Always",Motor,Motor
bis11_survey.04,BIS04,I make-up my mind quickly.,"Occasionally, Often, Rarely/Never, Almost Always/Always",Motor,Motor
bis11_survey.05,BIS05,I am happy-go-lucky.,"Almost Always/Always, Occasionally, Often, Rarely/Never",Motor,Motor
bis11_survey.06,BIS06,I don't pay attention.,"Rarely/Never, Occasionally, Almost Always/Always, Often",Attention,Attentional
bis11_survey.07,BIS07,I have 'racing' thoughts.,"Occasionally, Almost Always/Always, Rarely/Never, Often",Cognitive Stability,Attentional
bis11_survey.08,BIS08,I plan trips well ahead of time.,"Occasionally, Almost Always/Always, Often, Rarely/Never",Self-Control,Nonplanning
bis11_survey.09,BIS09,I am self controlled.,"Often, Almost Always/Always, Occasionally, Rarely/Never",Self-Control,Nonplanning
bis11_survey.10,BIS10,I concentrate easily.,"Occasionally, Almost Always/Always, Often, Rarely/Never",Attention,Attentional
bis11_survey.11,BIS11,I save regularly.,"Occasionally, Almost Always/Always, Often, Rarely/Never",Cognitive Complexity,Nonplanning
bis11_survey.12,BIS12,I 'squirm' at plays or lectures.,"Almost Always/Always, Rarely/Never, Occasionally, Often",Attention,Attentional
bis11_survey.13,BIS13,I am a careful thinker.,"Occasionally, Almost Always/Always, Often, Rarely/Never",Self-Control,Nonplanning
bis11_survey.14,BIS14,I plan for job security.,"Occasionally, Almost Always/Always, Often, Rarely/Never",Self-Control,Nonplanning
bis11_survey.15,BIS15,I say things without thinking.,"Often, Rarely/Never, Occasionally, Almost Always/Always",Self-Control,Nonplanning
bis11_survey.16,BIS16,I like to think about complex problems.,"Occasionally, Almost Always/Always, Often, Rarely/Never",Cognitive Complexity,Nonplanning
bis11_survey.17,BIS17,I change jobs.,"Rarely/Never, Often, Occasionally, Almost Always/Always",Perseverance,Motor
bis11_survey.18,BIS18,I act on impulse.,"Occasionally, Rarely/Never, Often, Almost Always/Always",Motor,Motor
bis11_survey.19,BIS19,I get easily bored when solving thought problems.,"Almost Always/Always, Rarely/Never, Occasionally, Often",Cognitive Complexity,Nonplanning
bis11_survey.20,BIS20,I act on the spur of the moment.,"Occasionally, Rarely/Never, Often, Almost Always/Always",Motor,Motor
bis11_survey.21,BIS21,I am a steady thinker.,"Occasionally, Almost Always/Always, Often, Rarely/Never",Attention,Attentional
bis11_survey.22,BIS22,I change residences.,"Rarely/Never, Occasionally, Often, Almost Always/Always",Perseverance,Motor
bis11_survey.23,BIS23,I buy things on impulse.,"Often, Rarely/Never, Occasionally, Almost Always/Always",Motor,Motor
bis11_survey.24,BIS24,I can only think about one thing at a time.,"Rarely/Never, Occasionally, Often, Almost Always/Always",Perseverance,Motor
bis11_survey.25,BIS25,I change hobbies.,"Occasionally, Rarely/Never, Often, Almost Always/Always",Cognitive Stability,Attentional
bis11_survey.26,BIS26,I spend or charge more than I earn.,"Almost Always/Always, Rarely/Never, Occasionally, Often",Motor,Motor
bis11_survey.27,BIS27,I often have extraneous thoughts when thinking.,"Occasionally, Almost Always/Always, Rarely/Never, Often",Cognitive Stability,Attentional
bis11_survey.28,BIS28,I am more interested in the present than the future.,"Occasionally, Rarely/Never, Often, Almost Always/Always",Cognitive Complexity,Nonplanning
bis11_survey.29,BIS29,I am restless at the theater or lectures.,"Almost Always/Always, Rarely/Never, Occasionally, Often",Attention,Attentional
bis11_survey.30,BIS30,I like puzzles.,"Often, Almost Always/Always, Rarely/Never, Occasionally",Cognitive Complexity,Nonplanning
bis11_survey.31,BIS31,I am future oriented.,"Often, Almost Always/Always, Rarely/Never, Occasionally",Perseverance,Motor
bis_bas_survey.02,BBAS02,A person's family is the most important thing in life.,"Very true for me, Somewhat true for me, Somewhat false for me, Very false for me",-,
bis_bas_survey.03,BBAS03,"Even if something bad is about to happen to me, I rarely experience fear or nervousness.","Somewhat true for me, Very true for me, Somewhat false for me, Very false for me",BIS,
bis_bas_survey.04,BBAS04,I go out of my way to get things I want.,"Somewhat true for me, Very true for me, Somewhat false for me, Very false for me",BAS Drive,
bis_bas_survey.05,BBAS05,When I am doing well at something I love to keep at it.,"Very true for me, Somewhat true for me, Somewhat false for me, Very false for me",BAS Reward Responsiveness,
bis_bas_survey.06,BBAS06,I am always willing to try something new if I think it will be fun.,"Very true for me, Somewhat true for me, Somewhat false for me, Very false for me",BAS Fun Seeking,
bis_bas_survey.07,BBAS07,How I dress is important to me.,"Somewhat false for me, Somewhat true for me, Very true for me, Very false for me",-,
bis_bas_survey.08,BBAS08,"When I get something I want, I feel excited and energized.","Somewhat true for me, Very true for me, Somewhat false for me, Very false for me",BAS Reward Responsiveness,
bis_bas_survey.09,BBAS09,Criticism or scolding hurts me quite a bit.,"Very false for me, Somewhat false for me, Somewhat true for me, Very true for me",BIS,
bis_bas_survey.10,BBAS10,When I want something I usually go all-out to get it.,"Somewhat true for me, Very true for me, Somewhat false for me, Very false for me",BAS Drive,
bis_bas_survey.11,BBAS11,I will often do things for no other reason than that they might be fun.,"Somewhat true for me, Somewhat false for me, Very true for me, Very false for me",BAS Fun Seeking,
bis_bas_survey.12,BBAS12,It is hard for me to find the time to do things such as get a haircut.,"Very true for me, Somewhat false for me, Very false for me, Somewhat true for me",-,
bis_bas_survey.13,BBAS13,If I see a chance to get something I want I move on it right away.,"Somewhat true for me, Very true for me, Somewhat false for me, Very false for me",BAS Drive,
bis_bas_survey.14,BBAS14,I feel pretty worried or upset when I think or know somebody is angry at me.,"Very false for me, Somewhat true for me, Somewhat false for me, Very true for me",BIS,
bis_bas_survey.15,BBAS15,When I see an opportunity for something I like I get excited right away.,"Somewhat true for me, Very true for me, Somewhat false for me, Very false for me",BAS Reward Responsiveness,
bis_bas_survey.16,BBAS16,I often act on the spur of the moment.,"Somewhat true for me, Somewhat false for me, Very true for me, Very false for me",BAS Fun Seeking,
bis_bas_survey.17,BBAS17,If I think something unpleasant is going to happen I usually get pretty 'worked up.,"Somewhat false for me, Very false for me, Somewhat true for me, Very true for me",BIS,
bis_bas_survey.18,BBAS18,I often wonder why people act the way they do.,"Somewhat true for me, Somewhat false for me, Very true for me, Very false for me",-,
bis_bas_survey.19,BBAS19,"When good things happen to me, it affects me strongly.","Somewhat true for me, Very true for me, Somewhat false for me, Very false for me",BAS Reward Responsiveness,
bis_bas_survey.20,BBAS20,I feel worried when I think I have done poorly at something important.,"Somewhat false for me, Very true for me, Somewhat true for me, Very false for me",BIS,
bis_bas_survey.21,BBAS21,I crave excitement and new sensations.,"Somewhat true for me, Very true for me, Somewhat false for me, Very false for me",BAS Fun Seeking,
bis_bas_survey.22,BBAS22,When I go after something I use a 'no holds barred' approach.,"Somewhat true for me, Very true for me, Somewhat false for me, Very false for me",BAS Drive,
bis_bas_survey.23,BBAS23,I have very few fears compared to my friends.,"Very true for me, Somewhat true for me, Somewhat false for me, Very false for me",BIS,
bis_bas_survey.24,BBAS24,It would excite me to win a contest.,"Very true for me, Somewhat true for me, Somewhat false for me, Very false for me",BAS Reward Responsiveness,
bis_bas_survey.25,BBAS25,I worry about making mistakes.,"Somewhat false for me, Somewhat true for me, Very true for me, Very false for me",BIS,
brief_self_control_survey.02,BSCS02,I am good at resisting temptation.,"2, Very much: 5, 4, 3, Not at all: 1",BSCS Total,
brief_self_control_survey.03,BSCS03,I have a hard time breaking bad habits.,"4, Not at all: 1, 2, 3, Very much: 5",BSCS Total,
brief_self_control_survey.04,BSCS04,I am lazy.,"3, Not at all: 1, 2, Very much: 5, 4",BSCS Total,
brief_self_control_survey.05,BSCS05,I say inappropriate things.,"3, Not at all: 1, 2, 4, Very much: 5",BSCS Total,
brief_self_control_survey.06,BSCS06,"I do certain things that are bad for me, if they are fun.","4, 3, 2, Not at all: 1, Very much: 5",BSCS Total,
brief_self_control_survey.07,BSCS07,I refuse things that are bad for me.,"2, Very much: 5, 4, 3, Not at all: 1",BSCS Total,
brief_self_control_survey.08,BSCS08,I wish I had more self-discipline.,"3, Not at all: 1, 4, 2, Very much: 5",BSCS Total,
brief_self_control_survey.09,BSCS09,People would say that I have iron self-discipline.,"3, Very much: 5, 4, 2, Not at all: 1",BSCS Total,
brief_self_control_survey.10,BSCS10,Pleasure and fun sometimes keep me from getting work done.,"4, Not at all: 1, 2, 3, Very much: 5",BSCS Total,
brief_self_control_survey.11,BSCS11,I have trouble concentrating.,"3, Not at all: 1, 2, 4, Very much: 5",BSCS Total,
brief_self_control_survey.12,BSCS12,I am able to work effectively toward long-term goals.,"3, Very much: 5, 4, 2, Not at all: 1",BSCS Total,
brief_self_control_survey.13,BSCS13,"Sometimes I can't stop myself from doing something, even if I know it is wrong.","4, Not at all: 1, 2, 3, Very much: 5",BSCS Total,
brief_self_control_survey.14,BSCS14,I often act without thinking through all the alternatives.,"3, Not at all: 1, 2, 4, Very much: 5",BSCS Total,
dickman_survey.02,DIC02,"Often, I don't spend enough time thinking over a situation before I act.","False, True",Dysfunctional,
dickman_survey.03,DIC03,I try to avoid activities where you have to act without much time to think first.,"False, True",Function,
dickman_survey.04,DIC04,"I don't like to make decisions quickly, even simple decisions, such as choosing what to wear, or what to have for dinner.","True, False",Function,
dickman_survey.05,DIC05,I enjoy working out problems slowly and carefully.,"True, False",Dysfunctional,
dickman_survey.06,DIC06,"I am good at taking advantage of unexpected opportunities,where you have to do something immediately or lose your chance.","True, False",Function,
dickman_survey.07,DIC07,I would enjoy working at a job that required me to make a lot of split-second decisions.,"False, True",Function,
dickman_survey.08,DIC08,I often make up my mind without taking the time to consider the situation from all angles.,"False, True",Dysfunctional,
dickman_survey.09,DIC09,I have often missed out on opportunities because I couldn't make up my mind fast enough.,"True, False",Function,
dickman_survey.10,DIC10,I often say and do things without considering the consequences.,"False, True",Dysfunctional,
dickman_survey.11,DIC11,I frequently make appointments without thinking about whether I will be able to keep them.,"True, False",Dysfunctional,
dickman_survey.12,DIC12,I am uncomfortable when l have to make up my mind rapidly.,"True, False",Function,
dickman_survey.13,DIC13,"I don't like to do things quickly, even when I am doing something that is not very difficult.","True, False",Function,
dickman_survey.14,DIC14,I frequently buy things without thinking about whether or not I can really afford them.,"False, True",Dysfunctional,
dickman_survey.15,DIC15,I am good at careful reasoning.,"True, False",Dysfunctional,
dickman_survey.16,DIC16,"I like to take part in really fast-paced conversations, where you don't have much time to think before you speak.","False, True",Function,
dickman_survey.17,DIC17,I like sports and games in which you have to choose your next move very quickly.,"True, False",Function,
dickman_survey.18,DIC18,Many times the plans I make don't work out because I haven‘t gone over them carefully enough in advance.,"False, True",Dysfunctional,
dickman_survey.19,DIC19,I often get into trouble because I don't think before I act.,"False, True",Dysfunctional,
dickman_survey.20,DIC20,"Most of the time, I can put my thoughts into words very rapidly.","True, False",Function,
dickman_survey.21,DIC21,People have admired me because I can think quickly.,"False, True",Function,
dickman_survey.22,DIC22,I will often say whatever comes into my head without thinking first.,"False, True",Dysfunctional,
dickman_survey.23,DIC23,"Before making any important decision, I carefully weigh the pros and cons.","True, False",Dysfunctional,
dickman_survey.24,DIC24,I rarely get involved in projects without first considering the potential problems.,"True, False",Dysfunctional,
dospert_eb_survey.02,DPTEB02,Admitting that your tastes are different from those of a friend.,"2, Moderate benefits: 4, No benefits at all: 1, 5, 3, 6, Great benefits: 7",Social,
dospert_eb_survey.03,DPTEB03,Going camping in the wilderness.,"Moderate benefits: 4, 3, 5, 6, Great benefits: 7, No benefits at all: 1, 2",Recreational,
dospert_eb_survey.04,DPTEB04,Betting a day's income at the horse races.,"No benefits at all: 1, 3, 2, 5, 6, Moderate benefits: 4, Great benefits: 7",Financial,
dospert_eb_survey.05,DPTEB05,Investing 10% of your annual income in a moderate growth diversified fund.,"No benefits at all: 1, 5, Moderate benefits: 4, 2, 6, Great benefits: 7, 3",Financial,
dospert_eb_survey.06,DPTEB06,Drinking heavily at a social function.,"No benefits at all: 1, 3, 2, Moderate benefits: 4, 5",Health/Safety,
dospert_eb_survey.07,DPTEB07,Taking some questionable deductions on your income tax return.,"2, Moderate benefits: 4, No benefits at all: 1, 3, 5, 6, Great benefits: 7",Ethical,
dospert_eb_survey.08,DPTEB08,Disagreeing with an authority figure on a major issue.,"2, Moderate benefits: 4, 3, No benefits at all: 1, 5, Great benefits: 7, 6",Social,
dospert_eb_survey.09,DPTEB09,Betting a day's income at a high-stake poker game.,"No benefits at all: 1, 3, 2, Moderate benefits: 4, 5, Great benefits: 7, 6",Financial,
dospert_eb_survey.10,DPTEB10,Having an affair with a married man/woman.,"No benefits at all: 1, 2, Moderate benefits: 4, 5, 3, Great benefits: 7, 6",Ethical,
dospert_eb_survey.11,DPTEB11,Passing off somebody else’s work as your own.,"2, 3, Moderate benefits: 4, 5, No benefits at all: 1, 6",Ethical,
dospert_eb_survey.12,DPTEB12,Going down a ski run that is beyond your ability.,"No benefits at all: 1, 2, 3, Moderate benefits: 4, 6, 5",Recreational,
dospert_eb_survey.13,DPTEB13,Investing 5% of your annual income in a very speculative stock.,"No benefits at all: 1, 3, Moderate benefits: 4, 2, 5, Great benefits: 7, 6",Financial,
dospert_eb_survey.14,DPTEB14,Going whitewater rafting at high water in the spring.,"No benefits at all: 1, Moderate benefits: 4, 2, 3, 5, 6, Great benefits: 7",Recreational,
