adaptive_n_back.EZ_drift,adaptive_n_back.EZ_non_decision,adaptive_n_back.EZ_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.keep_score,angling_risk_task_always_sunny.release_loss_percent,angling_risk_task_always_sunny.release_score,attention_network_task.EZ_drift_neutral,attention_network_task.EZ_non_decision_neutral,attention_network_task.EZ_thresh_neutral,attention_network_task.conflict_EZ_drift,attention_network_task.conflict_EZ_non_decision,attention_network_task.conflict_EZ_thresh,choice_reaction_time.EZ_drift,choice_reaction_time.EZ_non_decision,choice_reaction_time.EZ_thresh,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.EZ_drift_pos,directed_forgetting.EZ_non_decision_pos,directed_forgetting.EZ_thresh_pos,directed_forgetting.proactive_interference_EZ_drift,directed_forgetting.proactive_interference_EZ_non_decision,directed_forgetting.proactive_interference_EZ_thresh,discount_titrate.percent_patient,dot_pattern_expectancy.AY.BY_EZ_drift,dot_pattern_expectancy.AY.BY_EZ_non_decision,dot_pattern_expectancy.AY.BY_EZ_thresh,dot_pattern_expectancy.BX.BY_EZ_drift,dot_pattern_expectancy.BX.BY_EZ_non_decision,dot_pattern_expectancy.BX.BY_EZ_thresh,dot_pattern_expectancy.EZ_drift_AX,dot_pattern_expectancy.EZ_non_decision_AY,dot_pattern_expectancy.EZ_thresh_AX,dot_pattern_expectancy.dprime,go_nogo.dprime,hierarchical_rule.score,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_boxes_opened,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_boxes_opened,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.percent_patient,local_global_letter.EZ_drift_neutral,local_global_letter.EZ_non_decision_neutral,local_global_letter.EZ_thresh_neutral,local_global_letter.conflict_EZ_drift,local_global_letter.conflict_EZ_non_decision,local_global_letter.conflict_EZ_thresh,local_global_letter.switch_cost_EZ_drift,local_global_letter.switch_cost_EZ_non_decision,local_global_letter.switch_cost_EZ_thresh,motor_selective_stop_signal.EZ_drift,motor_selective_stop_signal.EZ_non_decision,motor_selective_stop_signal.EZ_thresh,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,probabilistic_selection.reg_positive_learning_bias,probabilistic_selection.reg_value_sensitivity,psychological_refractory_period_two_choices.PRP_slope,psychological_refractory_period_two_choices.PRP_slowing,ravens.score,recent_probes.EZ_drift_xrec,recent_probes.EZ_non_decision_xrec,recent_probes.EZ_thresh_xrec,recent_probes.proactive_interference_EZ_drift,recent_probes.proactive_interference_EZ_non_decision,recent_probes.proactive_interference_EZ_thresh,shift_task.learning_rate,simon.EZ_drift_congruent,simon.EZ_non_decision_congruent,simon.EZ_thresh_congruent,simon.simon_EZ_drift,simon.simon_EZ_non_decision,simon.simon_EZ_thresh,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.EZ_drift,stim_selective_stop_signal.EZ_non_decision,stim_selective_stop_signal.EZ_thresh,stim_selective_stop_signal.SSRT,stop_signal.EZ_drift,stop_signal.EZ_non_decision,stop_signal.EZ_thresh,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing,stroop.EZ_drift_congruent,stroop.EZ_non_decision_congruent,stroop.EZ_thresh_congruent,stroop.stroop_EZ_drift,stroop.stroop_EZ_non_decision,stroop.stroop_EZ_thresh,threebytwo.EZ_drift_cue_stay,threebytwo.EZ_non_decision_cue_stay,threebytwo.EZ_thresh_cue_stay,threebytwo.cue_switch_cost_EZ_drift,threebytwo.cue_switch_cost_EZ_non_decision,threebytwo.cue_switch_cost_EZ_thresh,threebytwo.task_inhibition,threebytwo.task_switch_cost_EZ_drift,threebytwo.task_switch_cost_EZ_non_decision,threebytwo.task_switch_cost_EZ_thresh,tower_of_london.avg_move_time,tower_of_london.num_correct,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,tower_of_london.total_moves,two_stage_decision.model_based,two_stage_decision.model_free,writing_task.neutral_probability,writing_task.positive_probability
s216,1.0491962162,-0.6046038649,1.2568422884,1.9,-0.3333333333,504,-0.2666666667,440,3.2674656623,-0.5163400529,1.3937030599,-0.3322011674,0.0848133411,-0.3388742203,NA,NA,NA,11.0833333333,-0.0583333333,2,-0.0206666667,-4.3333333333,15.625,-0.0327042629,2,-0.0076589698,-2.8128330373,-0.2085515069,-0.6439070682,9.2,6.4,2.2870203116,-0.5567219559,1.8638574635,-1.9912411096,NA,1.2539568659,0,NA,NA,NA,-0.245775223,-0.1874650871,0.1969662114,2.7533410491,NA,1.2145385945,0.9034090909,0.9365079365,123,0.6128288269,9.9,0.0010091155,0.9802734375,20.3,0.0013951362,0.6666666667,0.037037037,0.9878948885,NA,1.464648719,-0.5711382178,0.3346683664,-0.2512763764,0.0723627944,NA,-0.3107490393,2.9005189898,-0.4324379679,1.0577599891,-391.5,-8.5,46.5,0.5555555556,-9.4424215126,12.172988421,0.7850874534,620,10,1.6072713914,-0.5946944282,1.7441736323,-0.3882514252,0.0136451622,-0.0609616934,0.009538601,3.2321586231,-0.3364900686,1.4216876045,-1.3462123545,0.1386399107,-0.5424323976,6.1,4.8,1.2345176827,NA,NA,-432.8333333333,3.2807138791,-0.4461928025,0.9634330209,-391.25,-354.6666666667,-36.5833333333,15.0333333333,2.5441034554,-0.4563363685,1.2324554685,-0.4578850751,0.1076662453,0.2705004279,0.6648759809,-0.3678696019,1.2009874309,0.2686093582,0.1537524728,-0.2824403516,-36.3333333333,-0.9185463717,-0.1679547958,0.3019071787,1181.5,9,7,3609,51,1.0407631721,-0.4571002244,0.8423075923,0.1663873379
s218,0.1501624611,-0.1626198185,1.4860142121,1.1,-0.6666666667,562,-0.5333333333,385,3.6619414316,-0.5846576825,1.2435690129,0.3006277916,0.1328740697,-0.1717000771,NA,NA,NA,9.9583333333,0.0291666667,2,-0.0131666667,-2.0416666667,13.125,0.0525423729,2,-0.0033175414,-1.7530120482,0.1546970836,-0.9238391407,7.4,5.8,0.8736525787,-0.6306599719,1.157898387,-0.2115551473,0.2419904244,-0.1389935818,0.1111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8571428571,187,0.7965556145,10.1,0.0008272122,0.7000974655,9.9,0.0007464227,0.4444444444,0.2222222222,1.7749089465,-0.6449080245,1.5962584163,-0.523342535,0.2239577536,-0.2865250289,0.2942801233,0.1236143202,-0.1849444156,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7491619978,563,9,1.3085153065,-0.9763240905,1.5648978909,-0.3575808212,0.0439574248,0.4205266272,0.0495215514,2.1145495774,-0.2464987152,1.6389948667,0.9016021533,0.1985259468,-0.5004622228,4.8,4.7,NA,NA,NA,-279.3333333333,3.0074270246,-0.438780005,1.1932315242,-262,-285.3333333333,23.3333333333,-9.7652777778,2.6796956255,-0.4349805333,1.6914605711,-1.0636217419,0.0314469141,-0.2666587002,1.8318470398,-0.4101157144,1.5976985734,-0.7250705445,0.1098047241,-0.2728266819,0.8333333333,0.5995402584,-0.0188497912,0.1724895698,722,8,6,2633,69,0.8626836827,1.1869048958,0.8508906282,0.3931058543
s226,1.4824491223,-0.4058286441,1.2271304398,2.2,-0.3,760,-0.3,610,3.7949539436,-0.4201760563,1.0145439599,0.0999551496,0.0737538572,-0.0364675242,5.8604270232,-0.2652564611,0.8538535308,12.625,-0.0458333333,2,-0.0101666667,-2.375,15.6666666667,0.1663632327,0,-0.0043978686,-0.2138099467,-0.113315206,-1.0097552813,9,7.5,2.2549136308,-0.3255544046,1.8903960749,-0.0927933511,0.2153739961,-0.6709358745,0.1666666667,0.2311670819,0.1404189626,-0.1155244974,0.0277523363,-0.0789866765,-0.0151269143,3.7226186488,-0.3610890071,1.3843189649,0.9375,0.7682539683,194,0.7755329132,7.9,0.0016303798,0.784664917,10.9,0.001846009,0.6666666667,0.3333333333,1.3669205071,-0.7264717882,1.4576049993,-0.8475007368,0.1821546215,-0.5297138427,-0.0848929554,0.1165372115,0.1213752836,3.1634619147,-0.3580540783,1.1944166596,-206.5,25,151,0.9230769231,-13.8385395891,27.7430561025,0.5292736422,404,3,1.9676274639,-0.3680168868,1.7921891158,-0.5436283528,-0.0637082682,0.4494395844,0.1002289413,4.9261694756,-0.3102653567,0.7900297213,-0.627122207,0.0099662595,0.2788396265,6,6,3.3841978707,-0.4038388857,0.9950055992,-244.6666666667,3.1790775686,-0.3396927418,1.2020369288,-177.1666666667,-224.1666666667,47,102.8402777778,3.7259335532,-0.4037570664,1.2222109779,-0.9414217299,0.0444662771,0.4055786602,3.2457311759,-0.4116740029,1.09539203,-0.9443907337,-0.0257683371,0.2411225182,20.6666666667,0.4010728046,0.0480935799,-0.2207173994,677.5,11,9,3107.5,51,NA,NA,0.3586826236,0.1460237583
s228,1.4329331815,-0.4118576406,1.1819111503,2.3,-0.3333333333,723,-0.3,415,3.0981576945,-0.4859680104,0.8740840422,-1.5987507478,0.1011247745,-0.3953112012,2.9876968496,-0.2919999057,1.1270540485,10.25,0.2583333333,3,-0.009,-1.6666666667,9.0833333333,0.3141051567,2,-0.0012295248,-2.2648129424,-0.0862781653,-0.8103757513,8,7.2,1.9077850957,-0.5065191041,1.2569000975,-0.8920203292,0.0805081738,-0.1122591998,0.5833333333,-2.0542103056,0.2658455274,-0.0045659895,0.4572282485,-0.0424218465,-0.1633178806,3.8950123328,-0.4768807645,1.1465709829,0.9261363636,0.5428571429,217,0.6816086769,5.9,0.0010317555,0.778012085,9.3,0.0017704798,0.7222222222,0.5925925926,3.7121285566,-0.5076881217,0.9071064697,-1.870336345,0.2125333219,-0.1514514825,-0.9317505932,0.0648100449,-0.0924989762,2.7467197548,-0.3995032225,0.9608032727,-402.8333333333,-26,44,NA,NA,NA,0.455163537,358,13,NA,NA,NA,-1.3890840098,-0.1142193266,0.4352414164,0.0434706301,3.1293870846,-0.3197758256,1.2436365949,-1.0708384447,0.0845117856,-0.4381039763,6,5.1,3.4142482642,-0.4235011566,0.800177149,-326.3333333333,2.8993583798,-0.4131201649,0.8846610255,-263,-293.1666666667,30.1666666667,31.3555555556,3.5518752313,-0.495170183,1.083976027,-1.9889518223,0.1953717061,-0.070413817,1.689912185,-0.4665679148,1.0503222396,-0.4642494632,-0.1032456498,0.2011887451,-5.6666666667,0.0907743006,0.1159448965,-0.0969199487,709.5,10,8,2175,55,-0.905853474,0.6282217374,0.856918075,0.1895440625
s233,0.6502364815,-0.4938810992,1.3074488337,1.4,-0.2333333333,844,-0.3333333333,462,3.725984231,-0.4899906016,1.2221943544,-1.1325766499,0.1509541453,-0.2842275734,4.2651001491,-0.3135973929,1.1732306701,9.7916666667,0.0041666667,2,-0.0178333333,-3.875,13.125,0.1661016949,1,-0.0035421687,-3.220645293,-0.220979021,-0.5230769231,8.4,6.2,2.5852823351,-0.4821469338,1.3752262231,0.2606296111,0.0083427591,0.1510233475,0.4166666667,1.2012033259,0.6459200237,-0.50740812,1.6564844965,0.2917537396,-0.9134074357,2.8333317761,-0.6589018311,1.5721234392,0.9260057471,0.7142857143,210,0.7727680206,9.2,0.0007756982,0.8542480469,19.1,0.0012128666,0.5833333333,0.5185185185,0.7527371706,-0.8408438421,1.4594898878,0.0047843474,0.3097775772,-0.0081727587,-0.1543547164,0.2375166065,0.054878265,2.8463389646,-0.3859525611,0.9912308132,-433.6666666667,-47.5,64.5,1.0384615385,-12.6937055873,15.7971685268,0.5572900235,430,13,1.6181317479,-0.6703340423,1.2452033174,-1.3932269687,NA,NA,0.0410391739,3.2674028242,-0.3127146663,1.4063524142,-0.8235313268,0.1145985421,-0.2804604367,4.9,4.2,2.7531300873,-0.4452244558,1.4789972058,-443.5,2.8023814533,-0.4270205056,1.152172254,-266.6666666667,-298.3333333333,31.6666666667,111.7944444444,2.6524875805,-0.4446778572,1.7168325028,-0.6443457184,0.3647035664,-0.5828153659,1.8821803939,-0.4238917878,1.3944830159,-0.0044902298,0.11724279,-0.0710982013,-14.1666666667,-0.1405096924,-0.0498473802,0.1178707489,923.5,5,4,5686,53,-0.0948892158,1.6635051337,0.1964004724,0.1771131816
s237,1.7239253209,-0.3613956917,0.8935683131,2.2,-0.3,901,-0.3,350,3.4546745606,-0.4361659654,1.11447476,0.3725477561,0.1024369217,-0.142120214,2.7230031829,-0.2354439357,1.0563283708,9.625,0.1541666667,3,-0.0045,-2.375,12.375,0.2036977492,1,0.0002036442,0.0045016077,0.1580012138,-1.3648204921,7.5,7.7,3.5376481668,-0.3933994235,1.2049473763,-0.9721814264,0.0438015494,0.0568670637,0.0555555556,-0.6027581398,0.1885760423,-0.0552357973,2.7036516243,0.0188941181,-0.2260800551,3.1026242263,-0.431842487,1.0778098551,0.9034090909,0.6476190476,175,0.6201343536,5,0.0015002931,0.8934570312,21.1,0.002010747,0.5277777778,0.1481481481,2.4331825792,-0.4207303402,1.1878976048,-1.2610724368,0.1574192557,-0.2388996286,-0.3175562588,0.0274135841,0.0734864206,2.7387728387,-0.4028473564,1.1689849857,-367.5,-47.5,119.5,0.7506493506,-47.0722286765,NA,0.3936674914,253,9,1.621618068,-0.4305815065,1.2627466873,-0.9565338938,-0.0035511974,-0.0542962685,0.0547263939,4.0459747483,-0.3045571698,0.9618993049,-1.2497966132,0.0103194705,0.1746712842,6.4,5.3,2.9530906548,-0.4909956031,1.1363467634,-246.6666666667,2.4534030706,-0.3286989713,1.1048372175,-257.8333333333,-289.8333333333,32,-5.9611111111,3.3139923364,-0.4527420886,1.1617853063,0.0878382291,0.122014404,0.1706148253,2.5199292234,-0.4251102785,1.1614371447,-0.6030925586,-0.0170207701,0.0292654475,37.1666666667,0.0699625561,0.0429168409,-0.2108356387,759.5,8,8,4462,46,-1.2442739532,0.3592357648,0.8559064772,0.5889799385
s238,1.8609402503,-0.3837444046,0.9263318708,2.3,-0.2666666667,1021,-0.3666666667,432,2.3377864408,-0.3828203913,1.6469201525,-0.6731123401,0.0287795459,0.0647239701,3.9245793174,-0.3641608377,1.2750274364,1.625,0.0375,2,0.0001666667,-0.9583333333,6.6666666667,0.0686352254,1,-0.0015759599,-2.9626460768,0.4713576475,0.0567936932,7.3,5.7,2.3259112569,-0.5046800345,1.2181089608,0.1503932808,0.0082423741,0.2096363131,0.5277777778,NA,NA,NA,-1.9315009142,-0.1667965857,0.4989753497,2.3147665734,NA,0.9384200118,0.8310606061,0.8222222222,212,0.6627759933,7.4,0.001089941,0.9633224487,19.4,0.0013113884,0.5277777778,0.1481481481,1.7326771614,-0.7669673483,1.6001761805,-0.4966351728,0.1602456953,-0.3219936872,-0.0748202379,0.2062322197,0.1128633396,2.5474864067,-0.4358268819,0.7739207458,-383.1666666667,3.5,42.5,1.2,-3.4669587703,4.8925259014,0.6288319792,460,4,2.0752739259,-0.7208195988,1.320712408,-0.1281713277,-0.0501211676,0.5078018713,0.0443704483,2.5993832025,-0.3705975902,1.2226184378,0.2342677152,0.095413561,-0.4551450317,4.6,4,NA,NA,NA,NA,2.5901900053,-0.4014015873,0.8909904077,-366.8333333333,-407.1666666667,40.3333333333,-17.8277777778,2.5820679713,-0.4859678618,1.7554144753,-0.1788690737,0.2120515869,-0.6474796183,1.9878844513,-0.5143749034,1.2979712316,-0.3197719221,-0.0074521659,0.0096289439,10.1666666667,0.1770588835,0.0041628171,-0.1089554653,888.5,9,5,3762.5,56,0.3109776351,1.0600492539,0.8103906163,0.4772554192
s244,0.817188874,-0.2919132926,1.1030070407,1.55,-0.1666666667,317,-0.0333333333,137,3.5169944186,-0.4972961162,1.2948206194,-1.1256511855,0.0399700554,0.1236357726,3.8042940241,-0.327559301,1.1313702532,2.9166666667,0.0083333333,0,-0.0003333333,0.0833333333,3.6666666667,0.04,2,-0.0044,-2.1142857143,0.5505107832,-0.247446084,7.7,7,2.4302163787,-0.69158215,1.4629759278,0.3108994198,0.115813119,-0.1332490333,0.4166666667,0.977722923,0.2607769509,-0.029926125,0.4458451355,0.002613796,0.0950588594,3.7512380952,-0.5700834514,1.1905157725,0.9886363636,0.8,159,0.6640334487,3.6,0.0006344755,0.6184956789,3,0.0007189593,0.5277777778,0.4814814815,0.5110586705,-0.5566352327,1.2652699236,-1.1700042354,0.0981559568,0.0141119225,-0.1675719958,0.066497355,0.0133206532,2.5519467442,-0.4845615038,1.027074264,-403.3333333333,1.5,-4.5,0.5185185185,-14.6057261402,13.9053317162,0.6213461987,421,6,1.291143665,-0.6730213509,1.5859527478,-0.3256255454,0.1737830853,-0.0851617928,0.0438647544,4.7584123283,-0.3879782453,0.9656834114,-1.6570937416,0.0271454277,0.2892087221,5.1,4.6,3.7416441539,-0.4796078633,0.85721178,-401.6666666667,3.9471881657,-0.4655984248,1.1176526813,-298,-324.6666666667,26.6666666667,56.4291666667,2.8656779201,-0.5524974878,1.3435381467,-0.4439789663,0.0702896024,0.2463157845,2.4693492337,-0.4508979086,1.2517639916,0.1687852273,-0.0347543187,0.3531983662,64.5,-0.552027253,0.0841400306,-0.4310240276,1514.5,8,8,3710.5,46,-1.666010217,0.9886113935,0.7931470495,0.2192708451
s246,1.3699953046,-0.404445196,1.2382883969,2.15,-0.1,450,-0.2333333333,198,3.289827439,-0.4177973897,1.364398727,0.0138079269,0.082513421,-0.2192351179,NA,NA,NA,14,0.15,1,0.001,-2.5,8.75,0.1921763869,2,-0.0043072546,-2.5078236131,0.1002288358,-1.0565551406,9.2,5.3,2.4016174169,-0.476885712,1.4803973507,0.7394953204,0.0811685096,-0.1837059031,0,-0.241126394,0.2619429119,-0.2052928058,0.3369127471,-0.0690635088,0.1274270587,4.6535883962,-0.4530743836,1.1098501918,1,0.6571428571,206,0.6718950272,8.2,0.0012660045,0.8695106506,16.3,0.0018534339,0.6388888889,0.2222222222,2.4934546253,-0.4179053539,1.6980884519,-1.0447796901,0.1298847031,-0.1154876767,-0.7028975812,0.1382760941,-0.454138245,2.7694519577,-0.3814065671,1.3601959127,-285.3333333333,-14,218,NA,NA,NA,0.4588583835,265.5,11,NA,NA,NA,0.0560244442,-0.0220496203,-0.0283527196,0.072710238,3.9848054036,-0.2872191978,1.1531604143,-1.6468064905,0.0723399518,-0.3009657646,6,5.7,2.8963169275,-0.5190020246,1.0166149123,-288.8333333333,2.9219109013,-0.4196879577,0.9356215126,-280.6666666667,-266,-14.6666666667,137.7416666667,3.7668269642,-0.5487042527,1.2089424162,-0.8951946828,-0.0405274538,0.3768723558,2.4410440226,-0.3447181886,1.1840719508,-0.0884727207,0.0467675353,0.0749040128,10.3333333333,-0.7039610439,-0.0199312868,-0.1505507934,699.5,9,4,2613.5,72,-0.1142533863,0.3884521084,0.811333595,0.1154456363
s249,0.9167612433,-0.3554228399,1.1640038553,1.6,-0.2333333333,709,-0.3,555,2.8314731344,-0.52648384,1.3597683675,0.0982188939,0.0966713732,-0.2865387448,2.4326936396,-0.3562439372,1.3063929542,0.9166666667,0.0333333333,0,0.0003333333,-0.3333333333,9.4782608696,0.0779343926,0,0.0013213737,-0.7813941568,-0.145257655,-0.0851381628,6.9,7.7,0.2569638653,-0.3330155254,1.4581561845,0.5755053795,-0.1678462403,0.8266298087,0.2222222222,-1.3504919267,0.3521805964,-0.4939898701,-1.0307531887,-0.1350748404,-0.0264650979,2.9455028158,-0.6605287888,1.0295512978,0.6415229885,0.6380952381,139,0.5564130902,0.9,0.0008166215,0.5805901289,1,0.001095999,0.8333333333,0.3703703704,1.9176862489,-0.63417725,1.5354122609,-1.252191828,0.112836124,-0.0726141813,-0.2090952917,0.0267740693,-0.0746375047,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7598480068,648.5,3,1.6774797444,-0.7209346562,1.4111190445,-0.9469867926,0.0215944297,-0.2883632122,0.019833789,1.4808364859,-0.4540904594,1.3140614562,0.3370663078,-0.0227685204,0.029435591,6.5,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4482927772,-0.4935096943,1.2806859723,-0.8719054158,0.1172669763,-0.1593486914,1.4757180602,-0.6231190334,1.1463409281,-0.3071294966,-0.0345117972,0.057601753,36.6666666667,0.4168540415,0.0648224564,-0.1724320023,919.5,8,4,3577,60,NA,NA,0.2074943959,0.4948898421
s252,1.7366160717,-0.2745112343,1.0134714285,2.05,-0.4,593,-0.3,592,4.4232943915,-0.396757837,1.0295215485,-0.810688871,0.0914774487,-0.2941784404,4.3221726893,-0.25629852,1.1577386342,18.5,2.636779683e-16,1,-1.214306433e-17,-3.5,20.25,0.034751773,1,-0.0036099291,-4.170212766,0.286849711,-0.8956647399,9,7.8,3.0709217144,-0.4515521186,1.3880783274,-0.7396818126,-0.0264747665,0.3001864774,0.1111111111,-3.3198851949,0.1723101061,0.2600740776,NA,-0.262959487,1.306668053,4.0339284592,-0.3736081539,1.280336532,0.9333333333,0.7142857143,214,0.8268922806,12.3,0.0016332462,1,24,0.001892705,0.6944444444,0.2962962963,3.6472617299,-0.4492350243,0.9668515138,-0.6426192404,0.1354778418,-0.1690628901,-0.3462614675,-0.0416492586,0.1236733099,2.7629657888,-0.31462507,0.7907452442,-236.1666666667,-5.5,20.5,0.92,-17.6449893692,21.9424138221,0.2481242572,191.5,13,2.5703424121,-0.4734004381,1.3719419281,-0.3144276926,0.0623637309,0.1669127009,-0.0067340867,6.0614666087,-0.2738704178,0.6420591829,-1.6914490435,0.02653659,0.0851813334,5.9,5.7,3.0980321661,-0.3539397938,0.7236724317,-321.1666666667,4.1958726197,-0.396910219,0.7390817287,-222.1666666667,-241,18.8333333333,11.4930555556,3.0526312452,-0.3894937422,0.7779864529,-1.1493145104,0.0238145162,0.0676100172,3.1999458184,-0.3928684388,1.0628921784,-0.4944661756,-0.016607379,0.0122299,-17.6666666667,-0.2676579135,-0.0116223086,-0.0154387021,523,12,11,3310,52,-0.7313683934,0.3566749439,0.8536111961,0.1572729901
s254,1.0864777999,-0.515571161,1.0111686486,1.1,-0.1333333333,623,-0.2,252,3.0203458802,-0.4258329092,1.507733575,NA,0.2510425241,-0.4654279553,NA,NA,NA,5.4166666667,0.0166666667,2,-0.0056666667,-1.5833333333,9.125,0.160418483,3,-0.0105893636,-3.2545771578,-0.0586076074,-0.2919048088,8.6,8.1,2.4024256237,-0.611306477,1.7624297971,-0.0033386705,0.1100994042,-0.0279863491,0.5277777778,-0.3190391564,0.1876651708,0.3580244107,-0.977591149,-0.2005302767,0.7348564259,3.3103296155,-0.5065872434,1.3490826103,0.9886363636,0.8857142857,234,0.7095755577,7.3,0.0011151963,0.7676273346,11,0.0011829923,0.5555555556,0.5555555556,1.3949899261,-0.6832407425,1.2349670528,-2.5402474054,0.0966017424,-0.490511253,0.0659921133,0.0074626948,-0.0467080847,3.7640746357,-0.3970902791,0.9445477058,-273.5,-18,2,1.5555555556,16.6850724535,-12.9371830389,0.5271617541,394,10,NA,NA,NA,-0.5923346721,0.2314106952,-0.3504239596,0.0763745859,4.0469641026,-0.3393616792,1.135448631,0.0362055762,0.0898272389,-0.0100680538,7.1,5.7,3.8757598739,-0.4856883234,1.2910878044,-197.5,3.5226710973,-0.4539464908,1.3184287635,-231.3333333333,-249.1666666667,17.8333333333,49.6361111111,4.5637833577,-0.4703737658,0.9978293303,-1.5140918088,0.0014315887,0.4953960725,2.202413595,-0.4685051559,1.6077631068,-0.0100845426,0.052617858,0.2747710777,-16.3333333333,-0.5438789526,0.0260231832,-0.5118585602,1292.5,8,8,4701,45,-0.6043944013,1.275068726,0.8247236919,0.4561153035
s259,0.8476667542,-0.350088251,1.123859549,1.3846153846,-0.2,573,-0.3333333333,431,2.399954447,-0.4382932595,1.5861394764,-0.6846953971,0.1120593565,-0.5448718669,1.2284057917,-0.3520349058,1.3715234502,12.75,0.225,0,-0.001,-1.6666666667,19.5833333333,-0.0466193656,0,-0.0063497496,-0.1168614357,-0.1405635552,-0.7884228734,9.3,7,1.4742852814,-0.5591629848,1.388939352,-0.4773845371,0.3124799804,-0.7308138941,0.0277777778,-1.9023004185,0.1747113145,0.1165525445,-1.039972782,-0.0083043155,-0.1490837091,1.7908798568,-0.5049322402,1.1913187559,0.6941176471,0.5174603175,89,0.7388153076,16.7,0.002644253,0.7172607422,21.2,0.0028095754,0.6388888889,0,1.9850049839,-0.4570622174,1.3111753908,-1.1361215495,0.0224711016,0.0639097177,-0.5756635296,0.0753966689,-0.2717195332,2.1634508675,-0.3811218819,0.9083651408,-340.6666666667,-6.5,49,NA,NA,NA,0.4440222517,282,7,0.9636611658,NA,2.4563858108,-0.8812216296,-0.1564181571,0.3623110375,0.0048699454,2.329381763,-0.4127984181,1.0484958173,-1.4568721656,-0.0017415417,-0.0773914731,6.4,7.6,1.760992728,-0.4578280506,0.7952781257,-450.3333333333,2.0396878455,-0.4594289165,0.8537230927,-302.3333333333,-342.6666666667,40.3333333333,-37.7291666667,2.2371498224,-0.3570315251,1.4015575464,-1.0570839901,0.2881981848,-0.4207200736,2.4438746735,-0.4769157132,0.9958012094,-0.5290415378,0.0092702591,-0.1055157529,67.3333333333,-0.1881419375,0.0081845714,0.1718215951,719,12,8,3677,52,NA,NA,0.1675391866,0.3841961797
s262,0.7515109329,-0.3976925917,1.0366976397,1.3,-0.1333333333,794,-0.2,379,3.5792942759,-0.5391619164,1.272283456,-1.5254642393,0.0710722418,-0.1431720158,3.2983292914,-0.4782448275,1.090646792,10.25,0.0333333333,0,-0.0023333333,8.604228441e-16,19.3333333333,-0.0548932384,0,-0.0141209964,-4.1201067616,-0.1382701665,-0.567575903,6,6.1,2.2812690402,-0.6373244847,1.5457889721,-0.7982329342,0.0022969274,0.0694492935,0.6111111111,-0.068938629,0.3933503249,-0.6516285952,1.1805621068,0.0276811558,-0.367141055,2.4931973662,-0.6081610874,1.7912373,0.9886363636,0.7968253968,214,0.6991075516,9.9,0.0017055593,0.7930145264,9.9,0.0018119816,0.3055555556,0.7777777778,1.3757570723,-0.7865218474,1.4805534846,-1.593986693,0.1311909027,-0.3908475953,-1.1277678864,0.2230168851,-0.4365337138,NA,NA,NA,NA,NA,NA,1.5441176471,-2.2239076977,4.9549805461,0.8510518098,591,6,1.2462465312,-0.741317646,1.4377247393,0.779829076,0.0350393466,0.1850775781,0.0267117555,2.7278581822,-0.3824336401,1.6845156688,0.3977487643,0.1300233624,-0.4393750082,6,5,3.7527320238,-0.4249749801,1.3822958242,-285,3.1332875152,-0.4566359022,1.2164822378,NA,NA,2.75,1.8402777778,2.6514939853,-0.536487281,1.4356670281,-0.6299503659,0.2146153799,-0.142120971,1.7140351581,-0.5518679118,1.3195546706,0.2668364414,0.00269861,0.184290988,115.5,-0.7897193101,0.0240837099,-0.3586297209,925,10,8,2924.5,55,1.7172658434,-0.2190535661,0.4635058485,0.4505220142
