"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-SelfConceptWorker","UPDATE-SelfConceptWorker","CURRENT-SelfConceptTester","UPDATE-SelfConceptTester","CURRENT-RetestWorkerB5","UPDATE-RetestWorkerB5","CURRENT-RetestWorkerB4","UPDATE-RetestWorkerB4","CURRENT-RetestWorkerB3","UPDATE-RetestWorkerB3","CURRENT-RetestWorkerB2","UPDATE-RetestWorkerB2","CURRENT-RetestWorker","UPDATE-RetestWorker","CURRENT-Pilot_EMA","UPDATE-Pilot_EMA","CURRENT-LifetimeWorker","UPDATE-LifetimeWorker","CURRENT-F/U","UPDATE-F/U","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A1VIP6S8H2XXH7","https://requester.mturk.com/workers/A1VIP6S8H2XXH7","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1VPE05UDNFKGV","https://requester.mturk.com/workers/A1VPE05UDNFKGV","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1VW8Y7XCV3DRW","https://requester.mturk.com/workers/A1VW8Y7XCV3DRW","3","3","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","3","","1","","","","Never Blocked","",""
"A1VZSFHTU51JP0","https://requester.mturk.com/workers/A1VZSFHTU51JP0","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1W2AXHN5R2J91","https://requester.mturk.com/workers/A1W2AXHN5R2J91","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A1W36Q5THCHYUZ","https://requester.mturk.com/workers/A1W36Q5THCHYUZ","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A1W4Q0E00VP6VD","https://requester.mturk.com/workers/A1W4Q0E00VP6VD","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1W7QLLENVP2AE","https://requester.mturk.com/workers/A1W7QLLENVP2AE","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1WA3VMWGQJPYS","https://requester.mturk.com/workers/A1WA3VMWGQJPYS","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","","","","","1","","","","Never Blocked","",""
"A1WR6M74EOTJNY","https://requester.mturk.com/workers/A1WR6M74EOTJNY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1WRYUFOYFF8QO","https://requester.mturk.com/workers/A1WRYUFOYFF8QO","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A1WUC82IN5GX1D","https://requester.mturk.com/workers/A1WUC82IN5GX1D","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1WXPOLDS1Y9R4","https://requester.mturk.com/workers/A1WXPOLDS1Y9R4","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1WYAJYPQJZYE6","https://requester.mturk.com/workers/A1WYAJYPQJZYE6","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","0","","","","","","Never Blocked","",""
"A1X4BKW05XDA8Q","https://requester.mturk.com/workers/A1X4BKW05XDA8Q","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1X8HN7RX95X4","https://requester.mturk.com/workers/A1X8HN7RX95X4","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1XDMS0KFSF5JW","https://requester.mturk.com/workers/A1XDMS0KFSF5JW","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","1","","","","Never Blocked","",""
"A1XNXH5WGDXES5","https://requester.mturk.com/workers/A1XNXH5WGDXES5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1XSL223UP6NMI","https://requester.mturk.com/workers/A1XSL223UP6NMI","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1XTRYSSOR598O","https://requester.mturk.com/workers/A1XTRYSSOR598O","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","2","","","","","","Never Blocked","",""
"A1XUZFDVKP95VC","https://requester.mturk.com/workers/A1XUZFDVKP95VC","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","","","1","","","","Never Blocked","",""
"A1XVZCQ983ETMR","https://requester.mturk.com/workers/A1XVZCQ983ETMR","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1Y7W3SY9XKGJC","https://requester.mturk.com/workers/A1Y7W3SY9XKGJC","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1YA3HNCUJSJF4","https://requester.mturk.com/workers/A1YA3HNCUJSJF4","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1YASSK6RLZQLK","https://requester.mturk.com/workers/A1YASSK6RLZQLK","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1YC558J4E5KZ","https://requester.mturk.com/workers/A1YC558J4E5KZ","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1YIH5JUVIML4S","https://requester.mturk.com/workers/A1YIH5JUVIML4S","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1YJKLVJW1FE33","https://requester.mturk.com/workers/A1YJKLVJW1FE33","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1Z1O6MMOB3UWW","https://requester.mturk.com/workers/A1Z1O6MMOB3UWW","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1ZWJF3V4NXN6H","https://requester.mturk.com/workers/A1ZWJF3V4NXN6H","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1ZZ7YO3YASNIP","https://requester.mturk.com/workers/A1ZZ7YO3YASNIP","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A207149DHAS89K","https://requester.mturk.com/workers/A207149DHAS89K","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","","","","","1","","","","Never Blocked","",""
"A209V2VHLLQ59W","https://requester.mturk.com/workers/A209V2VHLLQ59W","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A20ALQT1HIVSAH","https://requester.mturk.com/workers/A20ALQT1HIVSAH","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A20BMZQJS92QY2","https://requester.mturk.com/workers/A20BMZQJS92QY2","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A20HITED8LB7O5","https://requester.mturk.com/workers/A20HITED8LB7O5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A20J7F7PKEZZV2","https://requester.mturk.com/workers/A20J7F7PKEZZV2","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","1","","Never Blocked","",""
"A20MYUKGSXUKM7","https://requester.mturk.com/workers/A20MYUKGSXUKM7","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A21QMMJHOSG779","https://requester.mturk.com/workers/A21QMMJHOSG779","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A21UA6O7ZFAIQJ","https://requester.mturk.com/workers/A21UA6O7ZFAIQJ","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","1","","","","Never Blocked","",""
"A222XREQ12K58P","https://requester.mturk.com/workers/A222XREQ12K58P","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A22AEEEAJDHREX","https://requester.mturk.com/workers/A22AEEEAJDHREX","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A22HX7JGLXHJQG","https://requester.mturk.com/workers/A22HX7JGLXHJQG","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A22KRF782ELLB0","https://requester.mturk.com/workers/A22KRF782ELLB0","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A22LZ62E0UC4VL","https://requester.mturk.com/workers/A22LZ62E0UC4VL","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A22T69YW4WUANF","https://requester.mturk.com/workers/A22T69YW4WUANF","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2389DERMNF3ZB","https://requester.mturk.com/workers/A2389DERMNF3ZB","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A23KAJRDVCVGOE","https://requester.mturk.com/workers/A23KAJRDVCVGOE","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A243MVNC6OLKBF","https://requester.mturk.com/workers/A243MVNC6OLKBF","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A244X2KYRPNOEO","https://requester.mturk.com/workers/A244X2KYRPNOEO","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A24B5UF6RMHYGX","https://requester.mturk.com/workers/A24B5UF6RMHYGX","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A24DYXCGZQUZUQ","https://requester.mturk.com/workers/A24DYXCGZQUZUQ","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A24F42H3K58D8A","https://requester.mturk.com/workers/A24F42H3K58D8A","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A24MFJ893DQKW1","https://requester.mturk.com/workers/A24MFJ893DQKW1","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","1","","","","Never Blocked","",""
"A24Z8V5IV2VJ8F","https://requester.mturk.com/workers/A24Z8V5IV2VJ8F","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","1","","","","Never Blocked","",""
"A2541C8MY0BYV3","https://requester.mturk.com/workers/A2541C8MY0BYV3","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A254JKSDNE44AM","https://requester.mturk.com/workers/A254JKSDNE44AM","13","13","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A256FHXGSY0E5D","https://requester.mturk.com/workers/A256FHXGSY0E5D","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2581F7TDPAMBQ","https://requester.mturk.com/workers/A2581F7TDPAMBQ","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A258MR1IS96JEP","https://requester.mturk.com/workers/A258MR1IS96JEP","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","1","","","","Never Blocked","",""
"A25C1FTEDXA4C9","https://requester.mturk.com/workers/A25C1FTEDXA4C9","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A25DP39XRZDLQM","https://requester.mturk.com/workers/A25DP39XRZDLQM","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A25MM8IKSW3G19","https://requester.mturk.com/workers/A25MM8IKSW3G19","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A25RC3TJZO8467","https://requester.mturk.com/workers/A25RC3TJZO8467","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2653BIPJKEMRK","https://requester.mturk.com/workers/A2653BIPJKEMRK","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A26A4HEBGP2MOX","https://requester.mturk.com/workers/A26A4HEBGP2MOX","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A26D2ZZKJW7BXR","https://requester.mturk.com/workers/A26D2ZZKJW7BXR","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A26M2EYRTI3QPP","https://requester.mturk.com/workers/A26M2EYRTI3QPP","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A26UIS59SY4NM6","https://requester.mturk.com/workers/A26UIS59SY4NM6","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A26XN1TM6CV01T","https://requester.mturk.com/workers/A26XN1TM6CV01T","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A273DS7TQWR9M1","https://requester.mturk.com/workers/A273DS7TQWR9M1","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","1","","","","Never Blocked","",""
"A273EH17NSJRH0","https://requester.mturk.com/workers/A273EH17NSJRH0","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","","","","","1","","","","Never Blocked","",""
"A279YSE7NB16M0","https://requester.mturk.com/workers/A279YSE7NB16M0","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A27FN28Y3N5XL3","https://requester.mturk.com/workers/A27FN28Y3N5XL3","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A27O2IILV3S5YS","https://requester.mturk.com/workers/A27O2IILV3S5YS","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A27PVIL93ZMY46","https://requester.mturk.com/workers/A27PVIL93ZMY46","3","3","100.00%","1","1","100.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A27SXB640MSD2I","https://requester.mturk.com/workers/A27SXB640MSD2I","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","1","","","","Never Blocked","",""
"A27W025UEXS1G0","https://requester.mturk.com/workers/A27W025UEXS1G0","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A288TV72SGDQWE","https://requester.mturk.com/workers/A288TV72SGDQWE","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","1","","","","Never Blocked","",""
"A289D98Z4GAZ28","https://requester.mturk.com/workers/A289D98Z4GAZ28","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A28AX4H70DPKKK","https://requester.mturk.com/workers/A28AX4H70DPKKK","2","2","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A28FONGJUKJEVK","https://requester.mturk.com/workers/A28FONGJUKJEVK","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A28HYRF3QXFAXL","https://requester.mturk.com/workers/A28HYRF3QXFAXL","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","1","","","","Never Blocked","",""
"A292IMAU5EW3MN","https://requester.mturk.com/workers/A292IMAU5EW3MN","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A29JSP8G8VTRT4","https://requester.mturk.com/workers/A29JSP8G8VTRT4","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A29PPNC373B8E3","https://requester.mturk.com/workers/A29PPNC373B8E3","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A29RJVVL54THB5","https://requester.mturk.com/workers/A29RJVVL54THB5","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","1","","","","1","","","","Never Blocked","",""
"A2ADEPVGNNXNPA","https://requester.mturk.com/workers/A2ADEPVGNNXNPA","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2AG45K4ULNBHF","https://requester.mturk.com/workers/A2AG45K4ULNBHF","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A2AGQGMZVSZVUJ","https://requester.mturk.com/workers/A2AGQGMZVSZVUJ","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2AMI7BVALOCJP","https://requester.mturk.com/workers/A2AMI7BVALOCJP","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2B6WQG0A9CKXQ","https://requester.mturk.com/workers/A2B6WQG0A9CKXQ","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A2B8HPIZDKYKDR","https://requester.mturk.com/workers/A2B8HPIZDKYKDR","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2BW6WD7LZ9EGV","https://requester.mturk.com/workers/A2BW6WD7LZ9EGV","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","1","","","","1","","","","Never Blocked","",""
"A2C39KTRMOM1XZ","https://requester.mturk.com/workers/A2C39KTRMOM1XZ","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","","","1","","","","Never Blocked","",""
"A2C7WH5KWEHKCS","https://requester.mturk.com/workers/A2C7WH5KWEHKCS","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A2CEUCPDECS6U3","https://requester.mturk.com/workers/A2CEUCPDECS6U3","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2CEXG9VDKI9NP","https://requester.mturk.com/workers/A2CEXG9VDKI9NP","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2CFE6AZS73RNS","https://requester.mturk.com/workers/A2CFE6AZS73RNS","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2CK0OXMPOR9LE","https://requester.mturk.com/workers/A2CK0OXMPOR9LE","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","","","","","1","","","","Never Blocked","",""
"A2CKHFWF9BKIYZ","https://requester.mturk.com/workers/A2CKHFWF9BKIYZ","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A2COVA7FSAIH3D","https://requester.mturk.com/workers/A2COVA7FSAIH3D","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2CT57W84KXX25","https://requester.mturk.com/workers/A2CT57W84KXX25","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2DWPP1KKAY0HG","https://requester.mturk.com/workers/A2DWPP1KKAY0HG","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2EAJ7834XI2IT","https://requester.mturk.com/workers/A2EAJ7834XI2IT","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2EEL9YYUHL5SK","https://requester.mturk.com/workers/A2EEL9YYUHL5SK","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2EFZBN4OLNH7S","https://requester.mturk.com/workers/A2EFZBN4OLNH7S","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","1","","","","1","","","","Never Blocked","",""
"A2EQS98NBBQITC","https://requester.mturk.com/workers/A2EQS98NBBQITC","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2ET3KM3IE33MM","https://requester.mturk.com/workers/A2ET3KM3IE33MM","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A2F1NAZRVIW18Y","https://requester.mturk.com/workers/A2F1NAZRVIW18Y","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2F48NO7AD9VKK","https://requester.mturk.com/workers/A2F48NO7AD9VKK","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A2F9V69F6TZIAB","https://requester.mturk.com/workers/A2F9V69F6TZIAB","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2FNI9973CF233","https://requester.mturk.com/workers/A2FNI9973CF233","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","","","1","","","","Never Blocked","",""
"A2FUPODRRCESB","https://requester.mturk.com/workers/A2FUPODRRCESB","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2G0HRT8HS9HRZ","https://requester.mturk.com/workers/A2G0HRT8HS9HRZ","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2G7N0X0PNX0EE","https://requester.mturk.com/workers/A2G7N0X0PNX0EE","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2H41RJTXE9I90","https://requester.mturk.com/workers/A2H41RJTXE9I90","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2HHGI5CNSS5PD","https://requester.mturk.com/workers/A2HHGI5CNSS5PD","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2HHK2B1GUH9GX","https://requester.mturk.com/workers/A2HHK2B1GUH9GX","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","1","","Never Blocked","",""
"A2HHKBW8HQWI66","https://requester.mturk.com/workers/A2HHKBW8HQWI66","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","1","","","","1","","","","Never Blocked","",""
"A2HZPQDYHDZWBA","https://requester.mturk.com/workers/A2HZPQDYHDZWBA","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A2I3Y0L38HMQLZ","https://requester.mturk.com/workers/A2I3Y0L38HMQLZ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2I6ZS386UJVJE","https://requester.mturk.com/workers/A2I6ZS386UJVJE","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2IA303OT5BBX0","https://requester.mturk.com/workers/A2IA303OT5BBX0","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2IABGWWDKRQS3","https://requester.mturk.com/workers/A2IABGWWDKRQS3","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2ICJ7N4UOKRCX","https://requester.mturk.com/workers/A2ICJ7N4UOKRCX","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A2IHTAI46N1MDN","https://requester.mturk.com/workers/A2IHTAI46N1MDN","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A2IRBZJJEB9P5E","https://requester.mturk.com/workers/A2IRBZJJEB9P5E","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A2J44NKNUFCS68","https://requester.mturk.com/workers/A2J44NKNUFCS68","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","1","","Never Blocked","",""
"A2J6WFWSKTYJQM","https://requester.mturk.com/workers/A2J6WFWSKTYJQM","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2J7PEUIO2WVUN","https://requester.mturk.com/workers/A2J7PEUIO2WVUN","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","1","","","","Never Blocked","",""
"A2JCK494NV7TFX","https://requester.mturk.com/workers/A2JCK494NV7TFX","4","4","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","1","","1","","","","4","","1","","","","Never Blocked","",""
"A2JHF7CU91EVXW","https://requester.mturk.com/workers/A2JHF7CU91EVXW","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
