,1.0
RPMSCOR,1.0
ravens_mturk.score,1.0
REPZD,1.0
REPRNGZD,1.0
REPRPSZD,1.0
REPXZD,1.0
REPXNGZD,1.0
REPXPSZD,1.0
REPZN,-1.0
REPRNGZN,-1.0
REPRPSZN,-1.0
REPXZN,-1.0
REPXNGZN,-1.0
REPXPSZN,-1.0
REPZT,1.0
REPRNGZT,1.0
REPRPSZT,1.0
REPXZT,1.0
REPXNGZT,1.0
REPXPSZT,1.0
REPAC,1.0
REPAVRT,-1.0
REPAVRTE,1.0
REPHD,1.0
REPRNGHD,1.0
REPRPSHD,1.0
REPXNGHD,1.0
REPXPSHD,1.0
REPHN,1.0
REPHT,1.0
REPMSPRC,-1.0
REPPES,1.0
REPPINZD,1.0
REPPINZN,1.0
REPPINZT,1.0
REPPINAC,1.0
REPPINHD,1.0
REPPINRT,-1.0
REPDRT,1.0
REPDRTE,1.0
SOCSCOM,1.0
SOCSELSE,1.0
SOCSLBSE,1.0
SOCSOPT,1.0
selection_optimization_compensation_survey_mturk.compensation,1.0
selection_optimization_compensation_survey_mturk.elective_selection,1.0
selection_optimization_compensation_survey_mturk.loss_based_selection,1.0
selection_optimization_compensation_survey_mturk.optimization,1.0
SSRQCOTR,1.0
self_regulation_survey_mturk.control,1.0
SSSBORED,1.0
SSSDISIN,1.0
SSSEXPSK,1.0
SSSTHRIL,1.0
sensation_seeking_survey_mturk.boredom_susceptibility,1.0
sensation_seeking_survey_mturk.disinhibition,1.0
sensation_seeking_survey_mturk.experience_seeking,1.0
sensation_seeking_survey_mturk.thrill_adventure_seeking,1.0
SMZD,1.0
SMZDDDD,1.0
SMZDDDS,1.0
SMZDDNN,1.0
SMZDDSD,1.0
SMZDSDD,1.0
SMZDSNN,1.0
SMZDSSS,1.0
SMZN,-1.0
SMZNDDD,-1.0
SMZNDDS,-1.0
SMZNDNN,-1.0
SMZNDSD,-1.0
SMZNSDD,-1.0
SMZNSNN,-1.0
SMZNSSS,-1.0
SMZT,1.0
SMZTDDD,1.0
SMZTDDS,1.0
SMZTDNN,1.0
SMZTDSD,1.0
SMZTSDD,1.0
SMZTSNN,1.0
SMZTSSS,1.0
SMAC,1.0
SMAVRT,-1.0
SMAVRTE,1.0
SMHD,1.0
SMHDDDD,1.0
SMHDDDS,1.0
SMHDDNN,1.0
SMHDDSD,1.0
SMHDSDD,1.0
SMHDSNN,1.0
SMHDSSS,1.0
SMHN,1.0
SMHT,1.0
SMMSPR,-1.0
SMPES,1.0
SMDRT,1.0
SMDRTE,1.0
SMSIZD,1.0
SMSIZN,1.0
SMSIZT,1.0
SMSIHD,1.0
SMSIRT,-1.0
SHFTAC,1.0
SHFTAVRT,-1.0
SHFTLR,1.0
SHFTMSPR,-1.0
SHFTPES,1.0
SHFTDRT,1.0
shift_task_mturk.acc,1.0
shift_task_mturk.avg_rt,-1.0
shift_task_mturk.learning_rate,1.0
shift_task_mturk.missed_percent,-1.0
shift_task_mturk.post_error_slowing,1.0
shift_task_mturk.std_rt,1.0
SIMZD,1.0
SIMCGZD,1.0
SIMINCZD,1.0
SIMZN,-1.0
SIMCGZN,-1.0
SIMINCZN,-1.0
SIMZT,1.0
SIMCGZT,1.0
SIMINCZT,1.0
SIMAC,1.0
SIMAVRT,-1.0
SIMAVRTE,1.0
SIMCGSAC,1.0
SIMCGSRT,1.0
SIMHD,1.0
SIMCGHD,1.0
SIMINCHD,1.0
SIMHN,1.0
SIMHT,1.0
SIMMSPRC,-1.0
SIMPES,1.0
SIMSIMZD,1.0
SIMSIMZN,1.0
SIMSIMZT,1.0
SIMSIMAC,1.0
SIMSIMHD,1.0
SIMSIMRT,-1.0
SIMDRT,1.0
SIMDRTE,1.0
simon_mturk.EZ_drift,1.0
simon_mturk.EZ_drift_congruent,1.0
simon_mturk.EZ_drift_incongruent,1.0
simon_mturk.EZ_non_decision,-1.0
simon_mturk.EZ_non_decision_congruent,-1.0
simon_mturk.EZ_non_decision_incongruent,-1.0
simon_mturk.EZ_thresh,1.0
simon_mturk.EZ_thresh_congruent,1.0
simon_mturk.EZ_thresh_incongruent,1.0
simon_mturk.acc,1.0
simon_mturk.avg_rt,-1.0
simon_mturk.avg_rt_error,1.0
simon_mturk.congruency_seq_acc,1.0
simon_mturk.congruency_seq_rt,1.0
simon_mturk.hddm_drift,1.0
simon_mturk.hddm_drift_congruent,1.0
simon_mturk.hddm_drift_incongruent,1.0
simon_mturk.hddm_non_decision,1.0
simon_mturk.hddm_thresh,1.0
simon_mturk.missed_percent,-1.0
simon_mturk.post_error_slowing,1.0
simon_mturk.simon_EZ_drift,1.0
simon_mturk.simon_EZ_non_decision,1.0
simon_mturk.simon_EZ_thresh,1.0
simon_mturk.simon_acc,1.0
simon_mturk.simon_hddm_drift,1.0
simon_mturk.simon_rt,-1.0
simon_mturk.std_rt,1.0
simon_mturk.std_rt_error,1.0
SRTAVRT,1.0
SRTMSPRC,-1.0
SRTDRT,1.0
simple_reaction_time_mturk.avg_rt,1.0
simple_reaction_time_mturk.missed_percent,-1.0
simple_reaction_time_mturk.std_rt,1.0
SPSFORWD,1.0
SPSREVRS,1.0
spatial_span_mturk.forward_span,1.0
spatial_span_mturk.reverse_span,1.0
STSZD,1.0
STSZN,-1.0
STSZT,1.0
STSSSRT,-1.0
STSSSDLY,1.0
STSGAC,1.0
STSGRT,-1.0
STSGRTE,-1.0
STSGDRT,1.0
STSGDRTE,1.0
STSHD,1.0
STSHN,1.0
STSHT,1.0
STSPAC,1.0
STSPRT,-1.0
STSPDRTE,1.0
stim_selective_stop_signal_mturk.EZ_drift,1.0
stim_selective_stop_signal_mturk.EZ_non_decision,-1.0
stim_selective_stop_signal_mturk.EZ_thresh,1.0
stim_selective_stop_signal_mturk.SSRT,-1.0
stim_selective_stop_signal_mturk.SS_delay,1.0
stim_selective_stop_signal_mturk.go_acc,1.0
stim_selective_stop_signal_mturk.go_rt,-1.0
stim_selective_stop_signal_mturk.go_rt_error,-1.0
stim_selective_stop_signal_mturk.go_rt_std,1.0
stim_selective_stop_signal_mturk.go_rt_std_error,1.0
stim_selective_stop_signal_mturk.hddm_drift,1.0
stim_selective_stop_signal_mturk.hddm_non_decision,1.0
stim_selective_stop_signal_mturk.hddm_thresh,1.0
stim_selective_stop_signal_mturk.ignore_acc,1.0
stim_selective_stop_signal_mturk.ignore_rt_error,-1.0
stim_selective_stop_signal_mturk.ignore_rt_error_std,1.0
stim_selective_stop_signal_mturk.stop_acc,1.0
stim_selective_stop_signal_mturk.stop_rt_error,-1.0
stim_selective_stop_signal_mturk.stop_rt_error_std,1.0
SSZD,1.0
SSZN,-1.0
SSZT,1.0
SSSSRT,-1.0
SSSSRTHI,-1.0
SSSSRTLO,-1.0
SSSSSDLY,1.0
SSGAC,1.0
SSGRT,-1.0
SSGRTE,-1.0
SSGDRT,1.0
SSGDRTE,1.0
SSHD,1.0
SSHN,1.0
SSHT,1.0
SSPASS,1.0
SSPAS,1.0
SSPAC,1.0
SSPRTE,-1.0
SSPDRTE,1.0
stop_signal_mturk.EZ_drift,1.0
stop_signal_mturk.EZ_non_decision,-1.0
stop_signal_mturk.EZ_thresh,1.0
stop_signal_mturk.SSRT,-1.0
stop_signal_mturk.SSRT_high,-1.0
stop_signal_mturk.SSRT_low,-1.0
stop_signal_mturk.SS_delay,1.0
stop_signal_mturk.go_acc,1.0
stop_signal_mturk.go_rt,-1.0
stop_signal_mturk.go_rt_error,-1.0
stop_signal_mturk.go_rt_std,1.0
stop_signal_mturk.go_rt_std_error,1.0
stop_signal_mturk.hddm_drift,1.0
stop_signal_mturk.hddm_non_decision,1.0
stop_signal_mturk.hddm_thresh,1.0
stop_signal_mturk.proactive_SSRT_speeding,1.0
stop_signal_mturk.proactive_slowing,1.0
stop_signal_mturk.stop_acc,1.0
stop_signal_mturk.stop_rt_error,-1.0
stop_signal_mturk.stop_rt_error_std,1.0
STRZD,1.0
STRCGZD,1.0
STRINCZD,1.0
STRZN,-1.0
STRCGZN,-1.0
STRINCZN,-1.0
STRZT,1.0
STRCGZT,1.0
STRINCZT,1.0
STRAC,1.0
STRAVRT,-1.0
STRAVRTE,1.0
STRCGSAC,1.0
STRCGS,1.0
STRHD,1.0
STRCGHD,1.0
STRINCHD,1.0
STRHN,1.0
STRHT,1.0
STRMSPRC,-1.0
STRPES,1.0
STRDRT,1.0
STRDRTE,1.0
STRSTRZD,1.0
STRSTRZN,1.0
STRSTRZT,1.0
STRSTRAC,1.0
STRSTRHD,1.0
STRSTRRT,-1.0
stroop_mturk.EZ_drift,1.0
stroop_mturk.EZ_drift_congruent,1.0
stroop_mturk.EZ_drift_incongruent,1.0
stroop_mturk.EZ_non_decision,-1.0
stroop_mturk.EZ_non_decision_congruent,-1.0
stroop_mturk.EZ_non_decision_incongruent,-1.0
stroop_mturk.EZ_thresh,1.0
stroop_mturk.EZ_thresh_congruent,1.0
stroop_mturk.EZ_thresh_incongruent,1.0
stroop_mturk.acc,1.0
stroop_mturk.avg_rt,-1.0
stroop_mturk.avg_rt_error,1.0
stroop_mturk.congruency_seq_acc,1.0
stroop_mturk.congruency_seq_rt,1.0
stroop_mturk.hddm_drift,1.0
stroop_mturk.hddm_drift_congruent,1.0
stroop_mturk.hddm_drift_incongruent,1.0
stroop_mturk.hddm_non_decision,1.0
stroop_mturk.hddm_thresh,1.0
stroop_mturk.missed_percent,-1.0
stroop_mturk.post_error_slowing,1.0
stroop_mturk.std_rt,1.0
stroop_mturk.std_rt_error,1.0
stroop_mturk.stroop_EZ_drift,1.0
stroop_mturk.stroop_EZ_non_decision,1.0
stroop_mturk.stroop_EZ_thresh,1.0
stroop_mturk.stroop_acc,1.0
stroop_mturk.stroop_hddm_drift,1.0
stroop_mturk.stroop_rt,-1.0
TIPIAGRE,1.0
TIPICONS,1.0
TIPIEMST,1.0
TIPIEXTR,1.0
TIPIOPEN,1.0
ten_item_personality_survey_mturk.agreeableness,1.0
ten_item_personality_survey_mturk.conscientiousness,1.0
ten_item_personality_survey_mturk.emotional_stability,1.0
ten_item_personality_survey_mturk.extraversion,1.0
ten_item_personality_survey_mturk.openness,1.0
TWILLELR,-1.0
theories_of_willpower_survey_mturk.endorse_limited_resource,-1.0
32ZD,1.0
32CSTZD1,1.0
32CSTZD9,1.0
32CSWZD1,1.0
32CSWZD9,1.0
32TSTZD1,1.0
32TSTZD9,1.0
32TSWZD1,1.0
32TSWZD9,1.0
32ZN,-1.0
32CSTZN1,-1.0
32CSTZN9,-1.0
32CSWZN1,-1.0
32CSWZN9,-1.0
32TSTZN1,-1.0
32TSTZN9,-1.0
32TSWZN1,-1.0
32TSWZN9,-1.0
32ZT,1.0
32CSTZT1,1.0
32CSTZT9,1.0
32CSWZT1,1.0
32CSWZT9,1.0
32TSTZT1,1.0
32TSTZT9,1.0
32TSWZT1,1.0
32TSWZT9,1.0
32AC,1.0
32AVRT,-1.0
32AVRTE,1.0
32CSCZD1,1.0
32CSCZD9,1.0
32CSCZN1,1.0
32CSCZN9,1.0
32CSCZT1,1.0
32CSCZT9,1.0
32CSCHD1,1.0
32CSCHD9,1.0
32CSCRT1,-1.0
32CSCRT9,-1.0
32HD,1.0
32CSTHD1,1.0
32CSTHD9,1.0
32CSWHD1,1.0
32CSWHD9,1.0
32TSTHD1,1.0
32TSTHD9,1.0
32TSWHD1,1.0
32TSWHD9,1.0
32HN,1.0
32HT,1.0
32MSPRC,-1.0
32PES,1.0
32DRT,1.0
32DRTE,1.0
32TAIOR1,-1.0
32TAIOR9,-1.0
32TSCZD1,1.0
32TSCZD9,1.0
32TSCZN1,1.0
32TSCZN9,1.0
32TSCZT1,1.0
32TSCZT9,1.0
32TSCHD1,1.0
32TSCHD9,1.0
32TSCRT1,-1.0
32TSCRT9,-1.0
ZTPIFUTR,1.0
ZTPIPNEG,1.0
ZTPIPPOS,1.0
ZTPIPRFA,1.0
ZTPIPRHE,1.0
time_perspective_survey_mturk.future,1.0
time_perspective_survey_mturk.past_negative,1.0
time_perspective_survey_mturk.past_positive,1.0
time_perspective_survey_mturk.present_fatalistic,1.0
time_perspective_survey_mturk.present_hedonistic,1.0
TOLAVGMT,1.0
TOLNUMRT,1.0
TOLNEM,-1.0
TOLOPTSL,1.0
TOLPLNTM,1.0
TOLWPS,1.0
tower_of_london_mturk.avg_move_time,1.0
tower_of_london_mturk.num_correct,1.0
tower_of_london_mturk.num_extra_moves,-1.0
tower_of_london_mturk.num_optimal_solutions,1.0
tower_of_london_mturk.planning_time,1.0
tower_of_london_mturk.weighted_performance_score,1.0
TSTAVRT,-1.0
TSTMSPRC,-1.0
TSTMODBA,1.0
TSTMODFR,1.0
TSTPRSV,-1.0
two_stage_decision_mturk.avg_rt,-1.0
two_stage_decision_mturk.missed_percent,-1.0
two_stage_decision_mturk.model_based,1.0
two_stage_decision_mturk.model_free,1.0
two_stage_decision_mturk.perseverance,-1.0
UPPLPERS,-1.0
UPPLPREM,-1.0
UPPNEGUR,-1.0
UPPPOSUR,-1.0
UPPSENSE,-1.0
upps_impulsivity_survey_mturk.lack_of_perseverance,-1.0
upps_impulsivity_survey_mturk.lack_of_premeditation,-1.0
upps_impulsivity_survey_mturk.negative_urgency,-1.0
upps_impulsivity_survey_mturk.positive_urgency,-1.0
upps_impulsivity_survey_mturk.sensation_seeking,-1.0
WRTNEUPR,1.0
WRTPOSPR,1.0
WRTSENTL,1.0
writing_task_mturk.neutral_probability,1.0
writing_task_mturk.positive_probability,1.0
writing_task_mturk.sentiment_label,1.0
