bis11_survey_10	bis10	I concentrate easily.
theories_of_willpower_survey_9	theof09	When situations accumulate that challenge you with temptations, it gets more and more difficult to resist the temptations.
time_perspective_survey_10	timper10	If things dont get done on time, I dont worry about it.
time_perspective_survey_11	timper11	When I want to achieve something, I set goals and consider specific means for reaching those goals.
time_perspective_survey_12	timper12	On balance, there is much more good to recall than bad in my past.
time_perspective_survey_13	timper13	When listening to my favorite music, I often lose all track of time.
time_perspective_survey_14	timper14	Meeting tomorrows deadlines and doing other necessary work comes before tonights play.
time_perspective_survey_15	timper15	Since whatever will be will be, it doesnt really matter what I do.
time_perspective_survey_16	timper16	I enjoy stories about how things used to be in the good old times.
time_perspective_survey_17	timper17	Painful past experiences keep being replayed in my mind.
time_perspective_survey_18	timper18	I try to live my life as fully as possible, one day at a time.
time_perspective_survey_19	timper19	It upsets me to be late for appointments.
time_perspective_survey_2	timper02	I believe that getting together with ones friends to party is one of lifes important pleasures.
time_perspective_survey_20	timper20	Ideally, I would live each day as if it were my last.
time_perspective_survey_21	timper21	Happy memories of good times spring readily to mind.
time_perspective_survey_22	timper22	I meet my obligations to friends and authorities on time.
time_perspective_survey_23	timper23	Ive taken my share of abuse and rejection in the past.
time_perspective_survey_24	timper24	I make decisions on the spur of the moment.
time_perspective_survey_25	timper25	I take each day as it is rather than try to plan it out.
time_perspective_survey_26	timper26	The past has too many unpleasant memories that I prefer not to think about.
time_perspective_survey_27	timper27	It is important to put excitement in my life.
time_perspective_survey_28	timper28	Ive made mistakes in the past that I wish I could undo.
time_perspective_survey_29	timper29	I feel that its more important to enjoy what youre doing than to get work done on time.
time_perspective_survey_3	timper03	Familiar childhood sights, sounds, smells often bring back a flood of wonderful memories.
time_perspective_survey_30	timper30	I get nostalgic about my childhood.
time_perspective_survey_31	timper31	Before making a decision, I weigh the costs against the benefits.
time_perspective_survey_32	timper32	Taking risks keeps my life from becoming boring.
time_perspective_survey_33	timper33	It is more important for me to enjoy lifes journey than to focus only on the destination.
time_perspective_survey_34	timper34	Things rarely work out as I expected.
time_perspective_survey_35	timper35	Its hard for me to forget unpleasant images of my youth.
time_perspective_survey_36	timper36	It takes joy out of the process and flow of my activities, if I have to think about goals, outcomes, and products.
time_perspective_survey_37	timper37	Even when I am enjoying the present, I am drawn back to comparisons with similar past experiences.
time_perspective_survey_38	timper38	You cant really plan for the future because things change so much.
time_perspective_survey_39	timper39	My life path is controlled by forces I cannot influence.
time_perspective_survey_4	timper04	Fate determines much in my life.
time_perspective_survey_40	timper40	It doesnt make sense to worry about the future, since there is nothing that I can do about it anyway.
time_perspective_survey_41	timper41	I complete projects on time by making steady progress.
time_perspective_survey_42	timper42	I find myself tuning out when family members talk about the way things used to be.
time_perspective_survey_43	timper43	I take risks to put excitement in my life.
time_perspective_survey_44	timper44	I make lists of things to do.
time_perspective_survey_45	timper45	I often follow my heart more than my head.
time_perspective_survey_46	timper46	I am able to resist temptations when I know that there is work to be done.
time_perspective_survey_47	timper47	I find myself getting swept up in the excitement of the moment.
time_perspective_survey_48	timper48	Life today is too complicated; I would prefer the simpler life of the past.
time_perspective_survey_49	timper49	I prefer friends who are spontaneous rather than predictable.
time_perspective_survey_5	timper05	I often think of what I should have done differently in my life.
time_perspective_survey_50	timper50	I like family rituals and traditions that are regularly repeated.
time_perspective_survey_51	timper51	I think about the bad things that have happened to me in the past.
time_perspective_survey_52	timper52	I keep working at difficult, uninteresting tasks if they will help me get ahead.
time_perspective_survey_53	timper53	Spending what I earn on pleasures today is better than saving for tomorrows security.
time_perspective_survey_54	timper54	Often luck pays off better than hard work.
time_perspective_survey_55	timper55	I think about the good things that I have missed out on in my life.
time_perspective_survey_56	timper56	I like my close relationships to be passionate.
time_perspective_survey_57	timper57	There will always be time to catch up on my work.
time_perspective_survey_6	timper06	My decisions are mostly influenced by people and things around me.
time_perspective_survey_7	timper07	I believe that a persons day should be planned ahead each morning.
time_perspective_survey_8	timper08	It gives me pleasure to think about my past.
time_perspective_survey_9	timper09	I do things impulsively.
upps_impulsivity_survey_10	uppimp10	I tend to give up easily.
upps_impulsivity_survey_11	uppimp11	When I am in great mood, I tend to get into situations that could cause me problems.
upps_impulsivity_survey_12	uppimp12	I am not one of those people who blurt out things without thinking.
upps_impulsivity_survey_13	uppimp13	I often get involved in things I later wish I could get out of.
upps_impulsivity_survey_14	uppimp14	I like sports and games in which you have to choose your next move very quickly.
upps_impulsivity_survey_15	uppimp15	Unfinished tasks really bother me.
upps_impulsivity_survey_16	uppimp16	When I am very happy, I tend to do things that may cause problems in my life.
upps_impulsivity_survey_17	uppimp17	I like to stop and think things over before I do them.
upps_impulsivity_survey_18	uppimp18	When I feel bad, I will often do things I later regret in order to make myself feel better now.
upps_impulsivity_survey_19	uppimp19	I would enjoy water skiing.
upps_impulsivity_survey_2	uppimp02	I have a reserved and cautious attitude toward life.
upps_impulsivity_survey_20	uppimp20	Once I get going on something I hate to stop.
upps_impulsivity_survey_21	uppimp21	I tend to lose control when I am in a great mood.
upps_impulsivity_survey_22	uppimp22	I dont like to start a project until I know exactly how to proceed.
upps_impulsivity_survey_23	uppimp23	Sometimes when I feel bad, I cant seem to stop what I am doing even though it is making me feel worse.
upps_impulsivity_survey_24	uppimp24	I quite enjoy taking risks.
upps_impulsivity_survey_25	uppimp25	I concentrate easily.
upps_impulsivity_survey_26	uppimp26	When I am really ecstatic, I tend to get out of control.
upps_impulsivity_survey_27	uppimp27	I would enjoy parachute jumping.
upps_impulsivity_survey_28	uppimp28	I finish what I start.
upps_impulsivity_survey_29	uppimp29	I tend to value and follow a rational, sensible approach to things.
upps_impulsivity_survey_3	uppimp03	I have trouble controlling my impulses.
upps_impulsivity_survey_30	uppimp30	When I am upset I often act without thinking.
upps_impulsivity_survey_31	uppimp31	Others would say I make bad choices when I am extremely happy about something.
upps_impulsivity_survey_32	uppimp32	I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.
upps_impulsivity_survey_33	uppimp33	I am able to pace myself so as to get things done on time.
upps_impulsivity_survey_34	uppimp34	I usually make up my mind through careful reasoning.
upps_impulsivity_survey_35	uppimp35	When I feel rejected, I will often say things that I later regret. 
upps_impulsivity_survey_36	uppimp36	Others are shocked or worried about the things I do when I am feeling very excited. 
upps_impulsivity_survey_37	uppimp37	I would like to learn to fly an airplane. 
upps_impulsivity_survey_38	uppimp38	I am a person who always gets the job done. 
upps_impulsivity_survey_39	uppimp39	I am a cautious person. 
upps_impulsivity_survey_4	uppimp04	I generally seek new and exciting experiences and sensations.
upps_impulsivity_survey_40	uppimp40	It is hard for me to resist acting on my feelings. 
upps_impulsivity_survey_41	uppimp41	When I get really happy about something, I tend to do things that can have bad consequences. 
upps_impulsivity_survey_42	uppimp42	I sometimes like doing things that are a bit frightening. 
upps_impulsivity_survey_43	uppimp43	I almost always finish projects that I start. 
upps_impulsivity_survey_44	uppimp44	Before I get into a new situation I like to find out what to expect from it. 
upps_impulsivity_survey_45	uppimp45	I often make matters worse because I act without thinking when I am upset.
upps_impulsivity_survey_46	uppimp46	When overjoyed, I feel like I cant stop myself from going overboard.
upps_impulsivity_survey_47	uppimp47	I would enjoy the sensation of skiing very fast down a high mountain slope.
upps_impulsivity_survey_48	uppimp48	Sometimes there are so many little things to be done that I just ignore them all.
upps_impulsivity_survey_49	uppimp49	I usually think carefully before doing anything.
upps_impulsivity_survey_5	uppimp05	I generally like to see things through to the end.
upps_impulsivity_survey_50	uppimp50	When I am really excited, I tend not to think of the consequences of my actions.
upps_impulsivity_survey_51	uppimp51	In the heat of an argument, I will often say things that I later regret.
upps_impulsivity_survey_52	uppimp52	I would like to go scuba diving.
upps_impulsivity_survey_53	uppimp53	I tend to act without thinking when I am really excited.
upps_impulsivity_survey_54	uppimp54	I always keep my feelings under control.
upps_impulsivity_survey_55	uppimp55	When I am really happy, I often find myself in situations that I normally wouldnt be comfortable with.
upps_impulsivity_survey_56	uppimp56	Before making up my mind, I consider all the advantages and disadvantages.
upps_impulsivity_survey_57	uppimp57	I would enjoy fast driving.
upps_impulsivity_survey_58	uppimp58	When I am very happy, I feel like it is ok to give in to cravings or overindulge.
upps_impulsivity_survey_59	uppimp59	Sometimes I do impulsive things that I later regret.
upps_impulsivity_survey_6	uppimp06	When I am very happy, I cant seem to stop myself from doing things that can have bad consequences.
upps_impulsivity_survey_60	uppimp60	I am surprised at the things I do while in a great mood.
upps_impulsivity_survey_7	uppimp07	My thinking is usually careful and purposeful.
upps_impulsivity_survey_8	uppimp08	I have trouble resisting my cravings (for food, cigarettes, etc.).
upps_impulsivity_survey_9	uppimp09	Ill try anything once.
